index,ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS,source,entity_id
485,1450000000485,Capriotti's Sandwich Shop ,3.2,(608) 255-2227,12,"902 Regent St, Madison, WI",0,16
957,1445980000958,Capriotti�۪s Sandwich Shop ,3.5,(608) 255-2227,11,"902 Regent St, Madison, WI 53715",1,16
503,1450000000503,Casa DE Lara ,3.3,(608) 251-7200,60,"341 State St Ste 2, Madison, WI",0,17
985,1445980000986,Casa de Lara ,3.5,(608) 251-7200,36,"341 State St, Madison, WI 53703",1,17
505,1450000000505,Casa Del Sol ,3.7,(608) 663-8818,178,"3040 Cahill Main, Fitchburg, WI",0,18
986,1445980000987,Casa Del Sol ,3.5,(608) 663-8818,59,"3040 Cahill Main, Fitchburg, WI 53711",1,18
509,1450000000509,Casellula Cheese and Wine Cafe ,3.8,(212) 247-8137,402,"401 W 52nd Street, New York, NY",0,19
993,1445980000994,Casellula ,4.0,(212) 247-8137,689,"401 W 52nd St, New York, NY 10019",1,19
522,1450000000522,Cha Cha Cha ,3.8,(323) 664-7723,133,"656 N Virgil Ave, Los Angeles, CA",0,20
1025,1445980001026,Cha Cha Cha ,4.0,(323) 664-7723,843,"656 N Virgil Ave, Los Angeles, CA 90004",1,20
550,1450000000550,Chicago Curry House ,3.5,(312) 362-9999,178,"899 S. Plymouth Court, Chicago, IL",0,21
1078,1445980001079,Chicago Curry House ,3.5,(312) 362-9999,371,"899 S Plymouth Ct, Chicago, IL 60605",1,21
572,1450000000572,China Kitchen ,3.5,(608) 826-4432,40,"6606 Mineral Pt Rd, Madison, WI",0,22
1111,1445980001112,China Kitchen ,3.0,(608) 826-4432,6,"6608 Mineral Point Rd, Madison, WI 53705",1,22
578,1450000000578,Chipotle Mexican Grill ,,(608) 233-4305,0,"4000 University Ave, Madison, WI",0,23
1125,1445980001126,Chipotle Mexican Grill ,3.0,(608) 233-4305,19,"4000 University Ave, Madison, WI 53705",1,23
663,1450000000663,Crossroads Cafe ,,(608) 262-5038,0,"1000 Bascom Mall, Madison, WI",0,24
1319,1445980001320,Crossroads Cafe ,,(608) 262-5038,0,"1000 Bascom Mall, Madison, WI 53706",1,24
703,1450000000703,Dairyland Family Restaurant ,3.8,(608) 222-9232,47,"716 Cottage Grove Rd, Madison, WI",0,25
1371,1445980001372,Dairyland Family Restaurant ,3.0,(608) 222-9232,14,"716 Cottage Grove Rd, Madison, WI 53716",1,25
727,1450000000727,Delarosa ,3.8,(415) 673-7100,137,"2175 Chestnut Street, San Francisco, CA",0,26
1415,1445980001416,Delarosa ,4.0,(415) 673-7100,984,"2175 Chestnut St, San Francisco, CA 94123",1,26
757,1450000000757,Dlux ,3.7,(608) 467-3130,138,"117 Martin Luther King Blvd, Madison, WI",0,27
1464,1445980001465,DLUX ,4.0,(608) 467-3130,234,"117 Martin Luther King Jr Blvd, Madison, WI 53703",1,27
775,1450000000775,Dong Il Jang ,4.2,(213) 383-5757,65,"3455 W 8th St, Los Angeles, CA",0,28
1486,1445980001487,Dong II Jang Restaurant ,4.0,(213) 383-5757,445,"3455 W 8th St, Los Angeles, CA 90005",1,28
862,1450000000862,El Metate ,3.4,(415) 641-7209,92,"2406 Bryant Street, San Francisco, CA",0,29
1583,1445980001584,El Metate Restaurant ,4.0,(415) 641-7209,923,"2406 Bryant St, San Francisco, CA 94110",1,29
907,1450000000907,Eno Vino Wine Bar & Bistro ,4.1,(608) 664-9565,480,"601 Junction Rd, Madison, WI",0,30
1639,1445980001640,Eno Vino Wine Bar & Bistro ,4.5,(608) 664-9565,189,"601 Junction Rd, Madison, WI 53717",1,30
936,1450000000936,Falling Water Cafe ,,(608) 831-2000,0,"1313 John Q Hammons Dr, Middleton, WI",0,31
1695,1445980001696,Falling Water Cafe ,2.5,(608) 831-2000,6,"1313 John Q Hammons Dr, Middleton, WI 53562",1,31
939,1450000000939,Famous Yeti's Pizza ,4.6,(608) 877-1544,161,"971 N Page St, Stoughton, WI",0,32
1700,1445980001701,Famous Yeti�۪s Pizza ,4.5,(608) 877-1544,24,"971 N Page St, Stoughton, WI 53589",1,32
980,1450000000980,Flaming Wok ,3.4,(608) 240-1085,40,"4237 Lien Rd Ste H, Madison, WI",0,33
1775,1445980001776,Flaming Wok ,3.5,(608) 240-1085,29,"4237 Lien Rd, Madison, WI 53704",1,33
1081,1450000001081,Glass Nickel Pizza Co. ,3.7,(608) 218-9000,125,"5003 University Ave Ste 170, Madison, WI",0,34
1956,1445980001957,Glass Nickel Pizza ,4.0,(608) 218-9000,50,"5003 University Ave, Madison, WI 53705",1,34
1120,1450000001120,Granite City Food & Brewery ,3.5,(608) 829-0700,228,"72 W Towne Mall, Madison, WI",0,35
2022,1445980002023,Granite City Food & Brewery ,3.5,(608) 829-0700,102,"72 West Towne Mall, Madison, WI 53719",1,35
1122,1450000001122,Graze ,3.7,(608) 251-2700,463,"1 S Pinckney Street, Madison, WI",0,36
2028,1445980002029,Graze ,4.0,(608) 251-2700,576,"1 S Pinckney St, Madison, WI 53703",1,36
1134,1450000001134,Greenbush Bar ,4.0,(608) 257-2874,267,"914 Regent St, Madison, WI",0,37
2051,1445980002052,Greenbush Bar ,4.0,(608) 257-2874,125,"914 Regent St, Madison, WI 53715",1,37
1149,1450000001149,Gus's Diner ,3.5,(608) 318-0900,101,"630 N Westmount Dr, Sun Prairie, WI",0,38
2082,1445980002083,Gus�۪s Diner ,3.5,(608) 318-0900,42,"630 N Westmount Dr, Sun Prairie, WI 53590",1,38
1183,1450000001183,Harvest ,3.4,(608) 255-6075,242,"21 N Pinckney St, Madison, WI",0,39
2142,1445980002143,Harvest ,3.5,(608) 255-6075,160,"21 N Pinckney St, Madison, WI 53703",1,39
1193,1450000001193,Hell's Kitchen ,3.7,(212) 977-1588,259,"754 9th Avenue, New York, NY",0,40
2173,1445980002174,Hell�۪s Kitchen ,3.5,(212) 977-1588,42,"754 9th Ave, New York, NY 10019",1,40
1279,1450000001279,Ippudo ,4.3,(212) 388-0088,1346,"65 4th Avenue, New York, NY",0,41
2360,1445980002361,Ippudo NY ,4.0,(212) 388-0088,7566,"65 4th Ave, New York, NY 10003",1,41
1294,1450000001294,J.P. Graziano ,4.7,(312) 666-4587,55,"901 W. Randolph Street, Chicago, IL",0,42
2395,1445980002396,J.P. Graziano Grocery Co. ,4.5,(312) 666-4587,304,"901 W Randolph St, Chicago, IL 60607",1,42
1302,1450000001302,Jade Garden ,3.0,(608) 260-9890,38,"1109 S Park St, Madison, WI",0,43
2411,1445980002412,Jade Garden ,3.0,(608) 260-9890,32,"1109 S Park St, Madison, WI 53715",1,43
1304,1450000001304,Jake Melnick's Corner Tap ,4.0,(312) 266-0400,255,"41 E. Superior Street, Chicago, IL",0,44
2413,1445980002414,Jake Melnick�۪s Corner Tap ,3.5,(312) 266-0400,706,"41 E Superior St, Chicago, IL 60611",1,44
1326,1450000001326,Jeni's Splendid Ice Creams ,2.8,(614) 407-0687,4,"1505 N. Milwaukee Avenue, Chicago, IL",0,45
2459,1445980002460,Jeni�۪s Splendid Ice Creams ,4.0,(872) 802-4668,73,"1505 N Milwaukee Ave, Chicago, IL 60622",1,45
1343,1450000001343,Jimmy John's ,3.0,(608) 255-0301,11,"527 State St, Madison, WI",0,46
2492,1445980002493,Jimmy John�۪s ,3.0,(608) 251-6789,5,"527 State St, Madison, WI 53703",1,46
1354,1450000001354,Joey's Seafood & Grill ,3.6,(608) 829-0093,240,"6604 Mineral Pt Rd, Madison, WI",0,47
3591,1445980003592,North and South Seafood & Smokehouse ,4.5,(608) 829-0093,5,"6604 Mineral Point Rd, Madison, WI 53705",1,47
1394,1450000001394,Kabul Afghanistan Restaurant ,3.8,(608) 256-6322,276,"540 State St, Madison, WI",0,48
2567,1445980002568,Kabul Restaurant ,3.5,(608) 256-6322,124,"540 State St, Madison, WI 53703",1,48
1408,1450000001408,KFC ,3.1,(608) 849-5004,22,"600 W Main St, Waunakee, WI",0,49
2634,1445980002635,KFC ,,(608) 849-5004,0,"600 W. Main Street, Waunakee, WI 53597",1,49
1449,1450000001449,Kuleto's ,3.6,(415) 397-7720,256,"221 Powell Street, San Francisco, CA",0,50
2706,1445980002707,Kuletos ,3.5,(415) 397-7720,746,"221 Powell St, San Francisco, CA 94102",1,50
1462,1450000001462,La Brioche ,3.6,(608) 233-3388,257,"2862 University Ave, Madison, WI",0,51
2719,1445980002720,L S.'s review of La Brioche True Foo,3.5,(608) 233-3388,120,"2862 University Ave, Madison, WI 53705",1,51
1500,1450000001500,Lakeview Bakery and Deli ,3.3,(608) 250-2380,17,"524 E. Wilson St., Madison, WI",0,52
2801,1445980002802,Lakeview Bakery and Deli ,5.0,(608) 250-2380,12,"524 E Wilson St, Madison, WI 53703",1,52
1509,1450000001509,Lao Laan,4.1,(608) 280-0104,196,"1146 Williamson St, Madison, WI",0,53
2820,1445980002821,Lao Laan,4.0,(608) 280-0104,211,"1146 Williamson St, Madison, WI 53703",1,53
1510,1450000001510,Lao Laan Xang Restaurant ,4.0,(608) 819-0140,243,"2098 Atwood Ave, Madison, WI",0,54
2819,1445980002820,Lao Laan,3.5,(608) 819-0140,68,"2098 Atwood Ave, Madison, WI 53704",1,54
1520,1450000001520,Layla's Persian Food ,3.2,(608) 216-4511,20,"141 South Butler Street, Madison, WI",0,55
2848,1445980002849,Layla�۪s Persian Food ,4.0,(608) 216-4511,26,"141 S Butler St, Madison, WI 53703",1,55
1558,1450000001558,Liholiho Yacht Club ,3.3,(415) 440-5446,19,"871 Sutter Street, San Francisco, CA",0,56
2903,1445980002904,Liholiho Yacht Club ,4.5,(415) 440-5446,480,"871 Sutter St, San Francisco, CA 94109",1,56
1615,1450000001615,Lula Cafe ,3.9,(773) 489-9554,892,"2537 N. Kedzie Boulevard, Chicago, IL",0,57
3019,1445980003020,Lula Cafe ,4.0,(773) 489-9554,1363,"2537 N Kedzie Blvd, Chicago, IL 60647",1,57
1637,1450000001637,Maharana ,3.9,(608) 246-8525,93,"1707 Thierer Rd, Madison, WI",0,58
3089,1445980003090,Maharaja Restaurant ,4.0,(608) 246-8525,42,"1707 Thierer Rd, Madison, WI 53704",1,58
1648,1450000001648,MaMa Ji's ,3.2,(415) 626-4416,18,"4415 18th Street, San Francisco, CA",0,59
3104,1445980003105,MaMa Ji�۪s ,4.0,(415) 212-8187,443,"4416 18th St, San Francisco, CA 94114",1,59
1656,1450000001656,Manna Cafe & Bakery ,3.8,(608) 663-5500,215,"611 N Sherman Ave, Madison, WI",0,60
3114,1445980003115,Manna Cafe & Bakery ,4.0,(608) 663-5500,119,"611 N Sherman Ave, Madison, WI 53704",1,60
1667,1450000001667,Marigold Kitchen ,4.1,(608) 661-5559,574,"118 S Pinckney St, Madison, WI",0,61
3132,1445980003133,Marigold Kitchen ,4.0,(608) 661-5559,353,"118 S Pinckney St, Madison, WI 53703",1,61
1677,1450000001677,Marlowe ,4.1,(415) 777-1413,81,"500 Brannan Street, San Francisco, CA",0,62
3151,1445980003152,Marlowe ,4.0,(415) 777-1413,1629,"500 Brannan St, San Francisco, CA 94107",1,62
1679,1450000001679,Marrakesh Restaurant ,3.3,(608) 238-7111,35,"5510 University Ave, Madison, WI",0,63
3158,1445980003159,Marrakesh ,2.5,(608) 238-7111,25,"5510 University Ave, Madison, WI 53705",1,63
1717,1450000001717,Mecca Supper Club ,3.3,(773) 775-1077,36,"6666 N. Northwest Highway, Chicago, IL",0,64
3207,1445980003208,Mecca Supper Club ,3.5,(773) 775-1077,77,"6666 N Northwest Hwy, Chicago, IL 60631",1,64
1751,1450000001751,Milan's Restaurant ,3.4,(718) 788-7384,31,"710 5th Avenue, Brooklyn, NY",0,65
3301,1445980003302,Milan Restaurant ,4.0,(718) 788-7384,49,"710 5th Ave, Brooklyn, NY 11226",1,65
1752,1450000001752,Milio's Sandwiches ,3.3,(608) 301-9999,32,"5534 Eastpark Blvd, Madison, WI",0,66
3304,1445980003305,Milio�۪s Sandwiches ,4.0,(608) 245-2700,5,"5534 Eastpark Blvd, Madison, WI 53718",1,66
1791,1450000001791,Mooyah ,3.1,(855) 666-9247,11,"6309 McKee Rd, Fitchburg, WI",0,67
3401,1445980003402,"MOOYAH Burgers, Fries & Shakes ",4.0,(608) 270-1022,45,"6309 Mckee Rd, Fitchburg, WI 53719",1,67
1820,1450000001820,Nacional 27 ,3.5,(312) 664-2727,210,"325 W. Huron Street, Chicago, IL",0,68
3466,1445980003467,Nacional 27 ,3.5,(312) 664-2727,694,"325 W Huron St, Chicago, IL 60654",1,68
1859,1450000001859,Nick's Pit Stop ,3.2,(773) 342-9736,37,"2023 N. Damen Avenue, Chicago, IL",0,69
3539,1445980003540,Nick�۪s Pit Stop ,4.5,(773) 342-9736,15,"2023 N Damen Ave, Chicago, IL 60647",1,69
1872,1450000001872,Noodles & Company ,3.6,(608) 829-0202,112,"7050 Mineral Point Rd, Madison, WI",0,70
3576,1445980003577,Noodles & Company ,3.0,(608) 829-0202,19,"7050 Mineral Point Rd and Gammon Rd, Madison, WI 53717",1,70
1902,1450000001902,Oakcrest Tavern ,4.2,(608) 233-1243,132,"5371 Old Middleton Rd, Madison, WI",0,71
3614,1445980003615,Oakcrest Tavern ,4.0,(608) 233-1243,37,"5371 Old Middleton Rd, Madison, WI 53705",1,71
1941,1450000001941,Original Pancake House ,3.5,(608) 222-1137,65,"518 River Pl, Monona, WI",0,72
3698,1445980003699,Original Pancake House ,3.5,(608) 222-1137,20,"516 River Pl, Monona, WI 53716",1,72
1942,1450000001942,Original Pancake House ,3.9,(608) 231-3666,295,"5518 University Ave, Madison, WI",0,73
3697,1445980003698,Original Pancake House ,4.0,(608) 231-3666,95,"5518 University Ave, Madison, WI 53705",1,73
1966,1450000001966,Pakwan ,3.9,(415) 255-2440,137,"3182 16th Street, San Francisco, CA",0,74
3755,1445980003756,Pakwan Restaurant ,4.0,(415) 255-2440,1343,"3180-82 16th St, San Francisco, CA 94103",1,74
1972,1450000001972,Palmyra Mediterranean Grill ,3.0,1245,7,"419 State St, Madison, WI",0,75
3764,1445980003765,Palmyra Mediterranean Grill ,3.5,(608) 630-9191,44,"419 State St, Madison, WI 53703",1,75
3765,1445980003766,Palmyra Mediterranean Grill ,3.5,(608) 630-9191,43,"419 State St, Madison, WI 53703",1,75
1975,1450000001975,Pampas Grill ,3.8,(323) 931-1928,59,"6333 W 3rd St, Los Angeles, CA",0,76
4636,1445980004637,Son of a Gun ,4.0,(323) 782-9033,1209,"8370 W 3rd St, Los Angeles, CA 90048",1,76
2015,1450000002015,Paradise Lounge ,3.3,(608) 256-2263,25,"119 W Main St, Madison, WI",0,77
5281,1445980005282,The Paradise Lounge ,4.0,(608) 256-2263,52,"119 W Main St, Madison, WI 53703",1,77
2031,1450000002031,Parthenon Gyros Restaurant ,3.7,(608) 251-6311,171,"316 State St, Madison, WI",0,78
3789,1445980003790,Pantheon Bar ,,(608) 251-6311,0,"316 State St, Madison, WI 53703",1,78
2069,1450000002069,Pho Nam ,3.7,(608) 836-7040,110,"610 Junction Rd Suite 109, Madison, WI",0,79
3900,1445980003901,Pho Nam Noodle House ,4.0,(608) 836-7040,84,"610 Junction Rd, Madison, WI 53717",1,79
2108,1450000002108,Pizza Hut ,,(608) 467-0588,0,"520 S Park St, Madison, WI",0,80
3958,1445980003959,Pizza Hut ,2.0,(608) 442-4242,2,"520 S. Park St., Madison, WI 53715",1,80
2123,1450000002123,Pizza Pit Extreme ,2.9,(608) 833-3344,21,"6628 Odana Rd, Madison, WI",0,81
3983,1445980003984,Pizza Pit Extreme ,3.5,(608) 271-3333,11,"6628 Odana Rd, Madison, WI 53719",1,81
2127,1450000002127,Pizzarito ,3.5,(310) 823-7333,46,"4371 Glencoe Ave B-7, Marina Del Rey, CA",0,82
3987,1445980003988,Pizzarito New York Pizza By the Slice ,3.0,(310) 823-7333,172,"4371 Glencoe Ave, Marina del Rey, CA 90292",1,82
2134,1450000002134,Plaza Tavern & Grill ,3.5,(608) 255-6592,56,"319 N Henry St, Madison, WI",0,83
5295,1445980005296,The Plaza Tavern ,4.0,(608) 255-6592,56,"319 N Henry St, Madison, WI 53703",1,83
2148,1450000002148,Pomp & Circumstance ,,(312) 951-7667,0,"1400 N. Wells Street, Chicago, IL",0,84
4033,1445980004034,Pomp & Circumstance ,4.0,(312) 951-7667,32,"1400 Wells St, Chicago, IL 60610",1,84
2156,1450000002156,Porta Bella ,3.2,(608) 256-3186,201,"425 N Frances St, Madison, WI",0,85
4046,1445980004047,Porta Bella ,2.5,(608) 256-3186,61,"425 N Frances St, Madison, WI 53703",1,85
2157,1450000002157,Porteno ,3.7,(212) 695-9694,37,"299 Tenth Avenue, New York, NY",0,86
4048,1445980004049,Porteno Restaurant ,4.5,(212) 695-9694,212,"299 10th Ave, New York, NY 10001",1,86
2158,1450000002158,Prado ,3.7,(323) 467-3871,45,"244 North Larchmont Boulevard, Los Angeles, CA",0,87
4068,1445980004069,Prado Restaurant ,4.0,(323) 467-3871,402,"244 N Larchmont Blvd, Los Angeles, CA 90004",1,87
2206,1450000002206,Ramen Takeya ,3.2,(312) 666-7710,12,"819 W. Fulton Market, Chicago, IL",0,88
4172,1445980004173,Ramen Takeya ,4.0,(312) 666-7710,93,"819 W Fulton Market, Chicago, IL 60607",1,88
2256,1450000002256,Rio Grande ,3.8,(608) 877-0160,97,"524 W Main St, Stoughton, WI",0,89
1593,1445980001594,El Rio Grande ,4.0,(608) 877-0160,37,"524 W Main St, Stoughton, WI 53589",1,89
2288,1450000002288,Rosie's Main Tap Incorporated ,3.2,(608) 835-3330,17,"121 S Main St, Oregon, WI",0,90
89,1445980000090,Ace�۪s Main Tap ,4.5,(608) 835-3330,3,"121 S Main St, Oregon, WI 53575",1,90
2296,1450000002296,RP Adler's Pub & Grill ,3.4,(608) 828-1250,89,"8202 Watts Rd, Madison, WI",0,91
4346,1445980004347,RP Adler�۪s ,3.5,(608) 828-1250,43,"8202 Watts Rd, Madison, WI 53719",1,91
2299,1450000002299,Ruay Thai Restaurant ,3.2,(212) 545-7829,20,"625 Second Avenue, New York, NY, NY",0,92
4349,1445980004350,Ruay Thai ,4.0,(212) 545-7829,323,"625 2nd Ave, New York, NY 10016",1,92
2318,1450000002318,Saigon Sandwich ,3.9,(415) 474-5698,126,"560 Larkin Street, San Francisco, CA",0,93
4390,1445980004391,Saigon Sandwich ,4.5,(415) 474-5698,2586,"560 Larkin St, San Francisco, CA 94102",1,93
2348,1450000002348,Sardine ,3.8,(608) 441-1600,454,"617 Williamson St, Madison, WI",0,94
4456,1445980004457,Sardine ,4.0,(608) 441-1600,259,"617 Williamson St, Madison, WI 53703",1,94
2351,1450000002351,Sarku Japan ,3.0,(608) 833-8808,12,"111 W Towne Mall, Madison, WI",0,95
4458,1445980004459,Sarku Japan ,4.0,(608) 833-8808,9,"111 W Towne Mall, Madison, WI 53719",1,95
2385,1450000002385,Shallots Bistro ,3.2,(847) 677-3463,21,"7016 Carpenter Road, Skokie, IL",0,96
4533,1445980004534,Shallots Bistro ,3.0,(847) 677-3463,47,"7016 Carpenter Rd, Skokie, IL 60076",1,96
2438,1450000002438,Sotto Mare ,4.5,(415) 398-3181,218,"552 Green Street, San Francisco, CA",0,97
4654,1445980004655,Sotto Mare ,4.5,(415) 398-3181,2103,"552 Green St, San Francisco, CA 94133",1,97
2488,1450000002488,Steak Escape ,2.5,(608) 833-9771,23,"118 W Towne Mall, Madison, WI",0,98
4740,1445980004741,Steak Escape ,,(608) 833-9771,0,"118 W Towne Mall, Madison, WI 53719",1,98
2504,1450000002504,Subway ,2.6,(608) 441-6887,6,"2850 University Ave, Madison, WI",0,99
4790,1445980004791,Subway ,4.0,(608) 441-6887,2,"2850 University Ave, Madison, WI 53705",1,99
2550,1450000002550,Swagat Restaurant ,4.0,(608) 836-9399,322,"707 N High Point Rd, Madison, WI",0,100
4878,1445980004879,Swagat ,,(800) 601-7491,0,"707 N High Point Rd, Madison, WI 53717",1,100
4879,1445980004880,Swagat Indian Restaurant ,4.0,(608) 836-9399,92,"707 N Highpoint Rd, Madison, WI 53717",1,100
2555,1450000002555,Sweet Maple ,3.9,(415) 655-9169,129,"2101 Sutter Street, San Francisco, CA",0,101
4890,1445980004891,Sweet Maple ,4.0,(415) 655-9169,1570,"2101 Sutter St, San Francisco, CA 94115",1,101
4891,1445980004892,Sweet Maple ,4.0,(415) 655-9169,1559,"2101 Sutter St, San Francisco, CA 94115",1,101
2656,1450000002656,Teriyaki Sushi Express ,3.5,(608) 271-4000,37,"3044 Fish Hatchery Rd, Fitchburg, WI",0,102
5020,1445980005021,Teriyaki Sushi Express ,4.0,(608) 271-4000,15,"3044 Fish Hatchery Rd, Fitchburg, WI 53713",1,102
2667,1450000002667,Thai Noodles ,4.4,(608) 270-9527,492,"5957 Mckee Rd, Fitchburg, WI",0,103
5033,1445980005034,Thai Noodles ,3.5,(608) 270-9527,62,"5957 Mckee Rd, Fitchburg, WI 53719",1,103
2680,1450000002680,The Buena Vista ,3.9,(415) 474-5044,422,"2765 Hyde Street, San Francisco, CA",0,104
797,1445980000798,Buena Vista Cafe ,4.0,(415) 474-5044,1560,"2765 Hyde St, San Francisco, CA 94109",1,104
2715,1450000002715,The Green Owl Cafe ,4.1,(608) 285-5290,237,"1970 Atwood Ave, Madison, WI",0,105
5184,1445980005185,The Green Owl ,4.0,(608) 285-5290,162,"1970 Atwood Ave, Madison, WI 53704",1,105
2731,1450000002731,The Little Owl ,3.8,(212) 741-4695,511,"90 Bedford Street, New York, NY",0,106
5238,1445980005239,The Little Owl ,4.0,(212) 741-4695,978,"90 Bedford St, New York, NY 10014",1,106
2738,1450000002738,The Old Fashioned ,4.3,(608) 310-4545,1602,"23 N Pinckney St, Madison, WI",0,107
5273,1445980005274,The Old Fashioned ,4.0,(608) 310-4545,951,"23 N Pinckney St, Madison, WI 53703",1,107
2745,1450000002745,The Publican ,4.1,(312) 733-9555,840,"837 W. Fulton Market, Chicago, IL",0,108
5305,1445980005306,The Publican ,4.0,(312) 733-9555,2207,"837 W Fulton Market, Chicago, IL 60607",1,108
2758,1450000002758,The Taco Shop ,3.3,(608) 250-8226,37,"604 University Ave, Madison, WI",0,109
5357,1445980005358,The Taco Bros ,4.0,(608) 422-5075,25,"604 E University Ave, Madison, WI 53715",1,109
2776,1450000002776,Tinga ,4.6,(323) 954-9566,58,"142 S La Brea, Los Angeles, CA",0,110
5411,1445980005412,Tinga ,4.0,(323) 954-9566,460,"142 S La Brea Ave, Los Angeles, CA 90036",1,110
2786,1450000002786,Tokyo Express ,,(608) 280-8338,0,"617 State St, Madison, WI",0,111
5433,1445980005434,Tokyo Express ,,(608) 280-8338,0,"617 State St, Madison, WI 53703",1,111
2830,1450000002830,Tuba ,3.6,(415) 826-8822,50,"1007 Guerrero Street, San Francisco, CA",0,112
5499,1445980005500,Tuba ,4.0,(415) 826-8822,533,"1007 Guerrero St, San Francisco, CA 94110",1,112
5500,1445980005501,Tuba ,4.0,(415) 826-8822,532,"1007 Guerrero St, San Francisco, CA 94110",1,112
2878,1450000002878,Villa Dolce ,3.9,(608) 833-0033,205,"1828 Parmenter St, Middleton, WI",0,113
5634,1445980005635,Villa Dolce ,3.5,(608) 833-0033,52,"1828 Parmenter St, Middleton, WI 53562",1,113
2888,1450000002888,Vinoteque on Melrose ,4.0,(310) 860-6060,95,"7469 Melrose Ave, Los Angeles, CA",0,114
5649,1445980005650,Vinoteque On Melrose ,4.0,(310) 860-6060,501,"7469 Melrose Ave, Los Angeles, CA 90046",1,114
2905,1450000002905,Waypoint Public House ,,(608) 222-3900,0,"320 W Broadway, Madison, WI",0,115
5698,1445980005699,Waypoint Public House ,4.0,(608) 222-0224,40,"320 W Broadway, Monona, WI 53716",1,115
2933,1450000002933,Wildberry Pancakes & Cafe ,3.9,(312) 938-9777,237,"130 E. Randolph Street, Chicago, IL",0,116
5752,1445980005753,Wildberry Pancakes and Cafe ,4.5,(312) 938-9777,1633,"130 E Randolph St, Chicago, IL 60601",1,116
