ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1450000000222,Bar Pastoral ,3.8,(773) 472-4781,73,"2947 N. Broadway Street, Chicago, IL"
1450000000225,Bari ,3.9,(312) 666-0730,150,"1120 W. Grand Avenue, Chicago, IL"
1450000000232,Barriques Coffee ,4.0,(608) 268-6264,122,"127 W Washington Ave, Madison, WI"
1450000000244,Batter & Berries ,3.7,(773) 248-7710,140,"2748 N. Lincoln Avenue, Chicago, IL"
1450000000248,BBQ Chicken ,3.2,(213) 739-1047,17,"698 S Vermont Ave # 101, Los Angeles, CA"
1450000000250,Bean & Bean ,,(212) 422-8083,0,"71 Broadway, New York, NY"
1450000000264,Bel Ami Restaurant ,3.2,(773) 878-2808,20,"5530 N. Lincoln Avenue, Chicago, IL"
1450000000334,Blowin' Smoke Barbeque ,3.1,(608) 215-0069,15,"1336 Montondon Avenue, Waunakee, WI"
1450000000335,Blu Jam Cafe ,4.2,(323) 951-9191,128,"7371 Melrose Ave, Los Angeles, CA"
1450000000346,Blue Velvet Lounge ,3.2,(608) 250-9900,26,"430 W Gilman St, Madison, WI"
1450000000356,Bocadillos ,3.8,(415) 982-2622,99,"710 Montgomery Street, San Francisco, CA"
1450000000361,Bom Bolla ,3.1,(773) 698-6601,5,"1501 N. Milwaukee Avenue, Chicago, IL"
1450000000364,Bonfyre American Grille ,3.9,(608) 273-3973,573,"2601 West Beltline Highway, Madison, WI"
1450000000383,BRGRBELLY ,3.1,(773) 775-6650,8,"5691 N. Milwaukee Avenue, Chicago, IL"
1450000000388,Brink Lounge ,2.6,(608) 661-8599,10,"701 E Washington Ave, Madison, WI"
1450000000392,Brocach Irish Pub ,3.6,(608) 255-2015,208,"7 W Main St, Madison, WI"
1450000000404,Buck & Honey's ,3.5,(608) 837-3131,172,"804 Liberty Boulevard, Sun Prairie, WI"
1450000000405,Buckingham's Madison ,3.1,(608) 251-4744,9,"802 Regent St, Madison, WI"
1450000000426,Burma Love ,2.8,(415) 861-2100,4,"211 Valencia Street, San Francisco, CA"
1450000000440,Cafe Costa Rica ,3.7,(608) 256-9830,118,"1133 Williamson St, Madison, WI"
1450000000454,Cafe Tallulah ,3.1,(212) 209-1055,14,"240 Columbus Avenue, New York, NY"
1450000000459,Cafe Zoma ,2.9,(608) 246-2009,13,"2326 Atwood Ave, Madison, WI"
1450000000485,Capriotti's Sandwich Shop ,3.2,(608) 255-2227,12,"902 Regent St, Madison, WI"
1450000000496,Carmine's ,3.8,(212) 221-3800,1985,"200 W 44th Street, New York, NY"
1450000000503,Casa DE Lara ,3.3,(608) 251-7200,60,"341 State St Ste 2, Madison, WI"
1450000000505,Casa Del Sol ,3.7,(608) 663-8818,178,"3040 Cahill Main, Fitchburg, WI"
1450000000509,Casellula Cheese and Wine Cafe ,3.8,(212) 247-8137,402,"401 W 52nd Street, New York, NY"
1450000000512,Cassell's Hamburgers ,3.8,(213) 387-5502,53,"3600 W 6th St, Los Angeles, CA"
1450000000522,Cha Cha Cha ,3.8,(323) 664-7723,133,"656 N Virgil Ave, Los Angeles, CA"
1450000000533,Cheba Hut ,3.3,(608) 819-8485,34,"453 W Gilman St, Madison, WI"
1450000000543,Chez Nanou ,3.2,(608) 283-4266,21,"805 Williamson St, Madison, WI"
1450000000550,Chicago Curry House ,3.5,(312) 362-9999,178,"899 S. Plymouth Court, Chicago, IL"
1450000000572,China Kitchen ,3.5,(608) 826-4432,40,"6606 Mineral Pt Rd, Madison, WI"
1450000000578,Chipotle Mexican Grill ,,(608) 233-4305,0,"4000 University Ave, Madison, WI"
1450000000582,Chocolate Shoppe Ice Cream ,3.8,(608) 255-5454,78,"468 State St, Madison, WI"
1450000000589,Chop Stop ,,(424) 274-3500,0,"8717 Santa Monica Blvd, West Hollywood, CA"
1450000000598,Chutney ,3.5,(415) 931-5541,60,"511 Jones Street, San Francisco, CA"
1450000000620,Cocohodo Wilshire ,,(213) 382-8943,0,"3500 W 6th St, Los Angeles, CA"
1450000000623,Coffee Bean & Tea Leaf ,,(310) 557-8435,0,"10250 Santa Monica Blvd, Los Angeles, CA"
1450000000628,Colibri Mexican Bistro ,3.6,(415) 440-2737,331,"438 Geary Street, San Francisco, CA"
1450000000632,Commissary ,3.0,(415) 561-3663,9,"101 Montgomery Street, San Francisco, CA"
1450000000663,Crossroads Cafe ,,(608) 262-5038,0,"1000 Bascom Mall, Madison, WI"
1450000000680,Curd Girl ,3.0,(608) 555-5555,6,"100 State St, Madison, WI"
1450000000703,Dairyland Family Restaurant ,3.8,(608) 222-9232,47,"716 Cottage Grove Rd, Madison, WI"
1450000000727,Delarosa ,3.8,(415) 673-7100,137,"2175 Chestnut Street, San Francisco, CA"
1450000000737,Desi Deli ,3.0,(212) 399-9007,8,"724 10th Avenue, New York, NY"
1450000000757,Dlux ,3.7,(608) 467-3130,138,"117 Martin Luther King Blvd, Madison, WI"
1450000000775,Dong Il Jang ,4.2,(213) 383-5757,65,"3455 W 8th St, Los Angeles, CA"
1450000000785,Dotty Dumpling's Dowry ,4.0,(608) 259-0000,728,"317 N Frances St, Madison, WI"
1450000000822,Durty Nelly's ,3.3,(415) 664-2555,26,"2328 Irving Street, San Francisco, CA"
1450000000836,EDO Japanese Restaurant ,3.6,(608) 268-0247,142,"532 S Park St, Madison, WI"
1450000000841,Einstein Bros Bagels ,3.0,(608) 242-9889,26,"3904 E Washington Ave, Madison, WI"
1450000000853,El Cid ,3.7,(773) 395-0505,177,"2645 N. Kedzie Avenue, Chicago, IL"
1450000000862,El Metate ,3.4,(415) 641-7209,92,"2406 Bryant Street, San Francisco, CA"
1450000000863,El Norteno Tacos ,3.0,(415) 756-1220,11,"801 Bryant Street, San Francisco, CA"
1450000000870,El Pollo Loco ,2.0,(323) 665-1333,23,"3925 W Sunset Blvd, Los Angeles, CA"
1450000000874,El Rinconcito Cubano ,3.4,(773) 489-4440,34,"3248 W. Fullerton Avenue, Chicago, IL"
1450000000876,El Salsabor Restaurant ,,(323) 266-1400,0,"522 S Lorena St, Los Angeles, CA"
1450000000878,El Taco Loco #2 ,3.0,(415) 282-7018,6,"3274 24th Street, San Francisco, CA"
1450000000907,Eno Vino Wine Bar & Bistro ,4.1,(608) 664-9565,480,"601 Junction Rd, Madison, WI"
1450000000921,Ethiopian Diamond ,3.7,(773) 338-6100,283,"6120 N. Broadway Street, Chicago, IL"
1450000000936,Falling Water Cafe ,,(608) 831-2000,0,"1313 John Q Hammons Dr, Middleton, WI"
1450000000939,Famous Yeti's Pizza ,4.6,(608) 877-1544,161,"971 N Page St, Stoughton, WI"
1450000000946,Fast Wok ,,(608) 833-6738,0,"106 W Towne Mall, Madison, WI"
1450000000977,Five Guys Burgers and Fries ,3.6,(608) 255-2520,167,"517 State St., Madison, WI"
1450000000980,Flaming Wok ,3.4,(608) 240-1085,40,"4237 Lien Rd Ste H, Madison, WI"
1450000001004,Fosdal Home Bakery ,4.6,(608) 873-3073,82,"243 E Main St, Stoughton, WI"
1450000001023,Frida Tacos ,3.2,(323) 549-4666,12,"7217 Melrose, Los Angeles, CA"
1450000001081,Glass Nickel Pizza Co. ,3.7,(608) 218-9000,125,"5003 University Ave Ste 170, Madison, WI"
1450000001087,Golden Apple Grill & Breakfast House ,3.3,(773) 528-1413,52,"2971 N. Lincoln Avenue, Chicago, IL"
1450000001108,Gordo Taqueria ,3.3,(415) 668-8226,63,"5450 Geary Boulevard, San Francisco, CA"
1450000001110,Gotham New York Bagels & Eats ,3.7,(608) 467-7642,120,"112 E Mifflin St, Madison, WI"
1450000001120,Granite City Food & Brewery ,3.5,(608) 829-0700,228,"72 W Towne Mall, Madison, WI"
1450000001122,Graze ,3.7,(608) 251-2700,463,"1 S Pinckney Street, Madison, WI"
1450000001125,Great India ,3.2,(415) 751-4433,20,"6127 Geary Boulevard, San Francisco, CA"
1450000001134,Greenbush Bar ,4.0,(608) 257-2874,267,"914 Regent St, Madison, WI"
1450000001148,Gumbo Pot ,3.5,(323) 933-0358,57,"6333 W 3rd St, Los Angeles, CA"
1450000001149,Gus's Diner ,3.5,(608) 318-0900,101,"630 N Westmount Dr, Sun Prairie, WI"
1450000001156,H. Salt Esquire Fish & Chips ,2.7,(323) 667-2653,7,"4732 Hollywood Blvd, Los Angeles, CA"
1450000001167,Han 202 ,4.1,(312) 949-1314,97,"605 W. 31st Street, Chicago, IL"
1450000001178,Harold's Chicken Shack ,3.5,(608) 819-8010,38,"707 S. Gammon Rd, Madison, WI"
1450000001181,Harold's Chicken Shack ,4.2,(773) 252-2424,58,"1361 N. Milwaukee Avenue, Chicago, IL"
1450000001183,Harvest ,3.4,(608) 255-6075,242,"21 N Pinckney St, Madison, WI"
1450000001193,Hell's Kitchen ,3.7,(212) 977-1588,259,"754 9th Avenue, New York, NY"
1450000001198,Hero Shop ,,(213) 265-7561,0,"130 E 6th St, Los Angeles, CA"
1450000001202,Hill and Bay ,3.3,(212) 245-5554,23,"581 2nd Avenue, New York, NY"
1450000001214,Honey B ,,(415) 221-1668,0,"2201 Clement Street, San Francisco, CA"
1450000001224,Hopwater Distribution ,,12347,0,"850 Bush Street, San Francisco, CA"
1450000001231,Hot Woks Cool Sushi ,3.6,(312) 345-1234,269,"30 S. Michigan Avenue, Chicago, IL"
1450000001252,Ian's Pizza ,4.0,(608) 257-9248,513,"100 State St, Madison, WI"
1450000001267,Immaculee II Haitian Restaurant & Bakery ,,(718) 778-7188,0,"1227 Nostrand Ave, Brooklyn, NY"
1450000001279,Ippudo ,4.3,(212) 388-0088,1346,"65 4th Avenue, New York, NY"
1450000001281,Irish Pub ,2.9,(608) 256-6071,8,"317 State St Ste A, Madison, WI"
1450000001294,J.P. Graziano ,4.7,(312) 666-4587,55,"901 W. Randolph Street, Chicago, IL"
1450000001300,Jack��s Stir,,(212) 647-0900,0,"425 W 13th St, New York, NY"
1450000001302,Jade Garden ,3.0,(608) 260-9890,38,"1109 S Park St, Madison, WI"
1450000001304,Jake Melnick's Corner Tap ,4.0,(312) 266-0400,255,"41 E. Superior Street, Chicago, IL"
1450000001320,JD's ,3.3,(608) 444-1590,25,"N Broom St & State St, Madison, WI"
1450000001326,Jeni's Splendid Ice Creams ,2.8,(614) 407-0687,4,"1505 N. Milwaukee Avenue, Chicago, IL"
1450000001343,Jimmy John's ,3.0,(608) 255-0301,11,"527 State St, Madison, WI"
1450000001346,Jimmy's Red Hots ,4.1,(773) 384-9513,82,"4000 W. Grand Avenue, Chicago, IL"
1450000001354,Joey's Seafood & Grill ,3.6,(608) 829-0093,240,"6604 Mineral Pt Rd, Madison, WI"
1450000001371,Jordan's Big Ten Pub ,3.7,(608) 251-6375,94,"1330 Regent St, Madison, WI"
1450000001379,Julep ,,1247,0,"827 E Washington Ave, Madison, WI"
1450000001394,Kabul Afghanistan Restaurant ,3.8,(608) 256-6322,276,"540 State St, Madison, WI"
1450000001408,KFC ,3.1,(608) 849-5004,22,"600 W Main St, Waunakee, WI"
1450000001411,Khan Toke Thai House ,3.7,(415) 668-6654,109,"5937 Geary Boulevard, San Francisco, CA"
1450000001428,Kit Kat Lounge and Supper Club ,3.6,(773) 525-1111,77,"3700 N. Halsted Street, Chicago, IL"
1450000001449,Kuleto's ,3.6,(415) 397-7720,256,"221 Powell Street, San Francisco, CA"
1450000001455,L's Caffe ,3.1,(415) 206-0274,16,"2871 24th Street, San Francisco, CA"
1450000001462,La Brioche ,3.6,(608) 233-3388,257,"2862 University Ave, Madison, WI"
1450000001490,La Salsa Fresh Mexican Grill ,2.8,(310) 234-8338,10,"10800 W Pico Blvd, Los Angeles, CA"
1450000001491,La Santaneca ,3.5,(415) 648-1034,61,"3781 Mission Street, San Francisco, CA"
1450000001494,Lady M Cake Boutique ,3.7,(212) 452-2222,117,"41 E 78th St, New York, NY"
1450000001497,Lahore Karahi ,3.8,(415) 567-8603,82,"612 O'Farrell Street, San Francisco, CA"
1450000001500,Lakeview Bakery and Deli ,3.3,(608) 250-2380,17,"524 E. Wilson St., Madison, WI"
1450000001509,Lao Laan,4.1,(608) 280-0104,196,"1146 Williamson St, Madison, WI"
1450000001510,Lao Laan Xang Restaurant ,4.0,(608) 819-0140,243,"2098 Atwood Ave, Madison, WI"
1450000001513,Las Fuentes ,3.4,(773) 935-2004,50,"2558 N. Halsted Street, Chicago, IL"
1450000001520,Layla's Persian Food ,3.2,(608) 216-4511,20,"141 South Butler Street, Madison, WI"
1450000001537,Leelin Bakery & Cafe ,3.3,(213) 382-2351,17,"209 S Vermont Ave, Los Angeles, CA"
1450000001558,Liholiho Yacht Club ,3.3,(415) 440-5446,19,"871 Sutter Street, San Francisco, CA"
1450000001615,Lula Cafe ,3.9,(773) 489-9554,892,"2537 N. Kedzie Boulevard, Chicago, IL"
1450000001630,Mad City Frites ,2.8,(608) 204-6150,9,"320 State St, Madison, WI"
1450000001637,Maharana ,3.9,(608) 246-8525,93,"1707 Thierer Rd, Madison, WI"
1450000001648,MaMa Ji's ,3.2,(415) 626-4416,18,"4415 18th Street, San Francisco, CA"
1450000001652,Mamoun's Falafel ,4.0,(212) 674-8685,548,"119 MacDougal Street, New York, NY"
1450000001656,Manna Cafe & Bakery ,3.8,(608) 663-5500,215,"611 N Sherman Ave, Madison, WI"
1450000001657,Manna Korean Restaurant ,3.9,(415) 665-5969,39,"845 Irving Street, San Francisco, CA"
1450000001659,Manos Nouveau ,,(415) 638-6109,0,"3115 22nd Street, San Francisco, CA"
1450000001667,Marigold Kitchen ,4.1,(608) 661-5559,574,"118 S Pinckney St, Madison, WI"
1450000001673,Mariscos Jalisco ,3.4,(323) 528-6701,27,"3040 E Olympic Blvd, Los Angeles, CA"
1450000001677,Marlowe ,4.1,(415) 777-1413,81,"500 Brannan Street, San Francisco, CA"
1450000001678,Marnee Thai ,3.8,(415) 665-9500,219,"2225 Irving Street, San Francisco, CA"
1450000001679,Marrakesh Restaurant ,3.3,(608) 238-7111,35,"5510 University Ave, Madison, WI"
1450000001682,Masa of Echo Park ,4.1,(213) 989-1558,336,"1800 W Sunset Blvd, Los Angeles, CA"
1450000001693,Mazza Luna ,,(415) 829-2730,0,"810 S Van Ness Street, San Francisco, CA"
1450000001717,Mecca Supper Club ,3.3,(773) 775-1077,36,"6666 N. Northwest Highway, Chicago, IL"
1450000001719,Mediterranean Cafe ,3.9,(608) 251-8510,127,"625 State St, Madison, WI"
1450000001728,Men Oh ,2.6,(415) 386-8802,4,"5120 Geary Boulevard, San Francisco, CA"
1450000001737,Metro Diner ,4.1,(212) 866-0800,149,"2641 Broadway, New York, NY"
1450000001746,Mickey's Tavern ,3.9,(608) 251-9964,118,"1524 Williamson St, Madison, WI"
1450000001751,Milan's Restaurant ,3.4,(718) 788-7384,31,"710 5th Avenue, Brooklyn, NY"
1450000001752,Milio's Sandwiches ,3.3,(608) 301-9999,32,"5534 Eastpark Blvd, Madison, WI"
1450000001784,Mom's Old Recipe ,3.3,(773) 467-1009,31,"5760 N. Milwaukee Avenue, Chicago, IL"
1450000001791,Mooyah ,3.1,(855) 666-9247,11,"6309 McKee Rd, Fitchburg, WI"
1450000001806,Mr. Pizza ,3.0,(213) 625-0077,13,"350 E 1st St, Los Angeles, CA"
1450000001812,Mullen's on Clark ,2.9,(773) 325-2319,15,"3527 N. Clark Street, Chicago, IL"
1450000001820,Nacional 27 ,3.5,(312) 664-2727,210,"325 W. Huron Street, Chicago, IL"
1450000001822,Nana ,3.8,(312) 929-2486,184,"3267 S. Halsted Street, Chicago, IL"
1450000001832,Natsumi Bar And Lounge ,4.0,(212) 258-2988,177,"226 W 50th Street, New York, NY"
1450000001833,Nature's Bakery Cooperative ,3.0,(608) 257-3649,6,"1019 Williamson St, Madison, WI"
1450000001847,New Fortune Dim Sum And Cafe ,3.1,(415) 399-1511,15,"811 Stockton Street, San Francisco, CA"
1450000001851,New Orient House ,3.4,(608) 250-8880,38,"626 S. Park St, Madison, WI"
1450000001859,Nick's Pit Stop ,3.2,(773) 342-9736,37,"2023 N. Damen Avenue, Chicago, IL"
1450000001872,Noodles & Company ,3.6,(608) 829-0202,112,"7050 Mineral Point Rd, Madison, WI"
1450000001877,Nori ,2.8,(773) 292-9992,7,"1393 N. Milwaukee Avenue, Chicago, IL"
1450000001881,North Beach Pizza ,3.6,(415) 433-2444,140,"1462 Grant Avenue, San Francisco, CA"
1450000001889,Novela ,2.7,(415) 896-6500,5,"662 Mission Street, San Francisco, CA"
1450000001902,Oakcrest Tavern ,4.2,(608) 233-1243,132,"5371 Old Middleton Rd, Madison, WI"
1450000001938,Oriental Garden ,3.6,(212) 619-0085,115,"14 Elizabeth Street, New York, NY"
1450000001940,Oriental Wok ,3.1,(608) 255-1288,13,"532 S Park St, Madison, WI"
1450000001941,Original Pancake House ,3.5,(608) 222-1137,65,"518 River Pl, Monona, WI"
1450000001942,Original Pancake House ,3.9,(608) 231-3666,295,"5518 University Ave, Madison, WI"
1450000001949,Otto's Tacos ,3.0,(646) 678-4018,16,"141 2nd Avenue, New York, NY"
1450000001959,Paciugo ,3.7,(773) 248-8433,36,"3241 N. Broadway Street, Chicago, IL"
1450000001966,Pakwan ,3.9,(415) 255-2440,137,"3182 16th Street, San Francisco, CA"
1450000001969,Palermo Ristorante Italiano ,3.7,(323) 663-1178,178,"1858 N Vermont Ave, Los Angeles, CA"
1450000001972,Palmyra Mediterranean Grill ,3.0,1245,7,"419 State St, Madison, WI"
1450000001975,Pampas Grill ,3.8,(323) 931-1928,59,"6333 W 3rd St, Los Angeles, CA"
1450000001981,Pancake Cafe ,3.2,(608) 204-7040,176,"6220 Nesbitt Rd Ste B, Fitchburg, WI"
1450000002015,Paradise Lounge ,3.3,(608) 256-2263,25,"119 W Main St, Madison, WI"
1450000002031,Parthenon Gyros Restaurant ,3.7,(608) 251-6311,171,"316 State St, Madison, WI"
1450000002069,Pho Nam ,3.7,(608) 836-7040,110,"610 Junction Rd Suite 109, Madison, WI"
1450000002094,Pisco Latin Lounge ,3.3,(415) 874-9951,31,"1817 Market Street, San Francisco, CA"
1450000002099,Pizza Capri ,3.4,(312) 280-5700,48,"1733 N. Halsted Street, Chicago, IL"
1450000002108,Pizza Hut ,,(608) 467-0588,0,"520 S Park St, Madison, WI"
1450000002123,Pizza Pit Extreme ,2.9,(608) 833-3344,21,"6628 Odana Rd, Madison, WI"
1450000002127,Pizzarito ,3.5,(310) 823-7333,46,"4371 Glencoe Ave B-7, Marina Del Rey, CA"
1450000002134,Plaza Tavern & Grill ,3.5,(608) 255-6592,56,"319 N Henry St, Madison, WI"
1450000002148,Pomp & Circumstance ,,(312) 951-7667,0,"1400 N. Wells Street, Chicago, IL"
1450000002156,Porta Bella ,3.2,(608) 256-3186,201,"425 N Frances St, Madison, WI"
1450000002157,Porteno ,3.7,(212) 695-9694,37,"299 Tenth Avenue, New York, NY"
1450000002158,Prado ,3.7,(323) 467-3871,45,"244 North Larchmont Boulevard, Los Angeles, CA"
1450000002167,Prune ,3.8,(212) 677-6221,392,"54 E 1st Street, New York, NY"
1450000002184,Qdoba Mexican Grill ,3.4,(608) 280-8720,48,"548 State St, Madison, WI"
1450000002186,Quaker Steak & Lube ,3.5,(608) 831-5823,208,"2259 Deming Way, Middleton, WI"
1450000002192,Quickly ,2.9,(415) 665-3090,11,"2116 Irving Street, San Francisco, CA"
1450000002193,Quivey's Grove ,3.6,(608) 273-4900,265,"6261 Nesbitt Rd, Fitchburg, WI"
1450000002204,Ramen Hayatemaru ,,(310) 212-0055,0,"11678 W Olympic Blvd, Los Angeles, CA"
1450000002206,Ramen Takeya ,3.2,(312) 666-7710,12,"819 W. Fulton Market, Chicago, IL"
1450000002253,Rin's ,4.0,(415) 821-4776,86,"4301 24th Street, San Francisco, CA"
1450000002256,Rio Grande ,3.8,(608) 877-0160,97,"524 W Main St, Stoughton, WI"
1450000002258,Rising Sons ,3.7,(608) 661-4334,74,"617 State St, Madison, WI"
1450000002264,Roam Artisan Burgers ,4.2,(415) 440-7626,121,"1785 Union Street, San Francisco, CA"
1450000002266,Roast Public House ,3.5,(608) 260-0088,46,"529 State St, Madison, WI"
1450000002273,Roka Akor ,3.8,(312) 477-7652,87,"456 N. Clark Street, Chicago, IL"
1450000002275,Rolling Pin Bake Shop ,3.6,(608) 270-9611,69,"2935 S Fish Hatchery Rd, Fitchburg, WI"
1450000002281,Rosamunde Sausage Grill ,4.0,(415) 437-6851,232,"545 Haight Street, San Francisco, CA"
1450000002288,Rosie's Main Tap Incorporated ,3.2,(608) 835-3330,17,"121 S Main St, Oregon, WI"
1450000002296,RP Adler's Pub & Grill ,3.4,(608) 828-1250,89,"8202 Watts Rd, Madison, WI"
1450000002299,Ruay Thai Restaurant ,3.2,(212) 545-7829,20,"625 Second Avenue, New York, NY, NY"
1450000002305,Ruth's Chris Steak House ,3.4,(608) 828-7884,111,"2137 Deming Way, Middleton, WI"
1450000002307,Sa Bai Thong ,3.6,(608) 238-3100,287,"2840 University Ave, Madison, WI"
1450000002318,Saigon Sandwich ,3.9,(415) 474-5698,126,"560 Larkin Street, San Francisco, CA"
1450000002333,Samba Grill Cafe ,,(213) 749-0260,0,"735 E 12th St, Los Angeles, CA"
1450000002348,Sardine ,3.8,(608) 441-1600,454,"617 Williamson St, Madison, WI"
1450000002351,Sarku Japan ,3.0,(608) 833-8808,12,"111 W Towne Mall, Madison, WI"
1450000002375,Semiramis ,3.8,(773) 279-8900,158,"4639 N. Kedzie Avenue, Chicago, IL"
1450000002385,Shallots Bistro ,3.2,(847) 677-3463,21,"7016 Carpenter Road, Skokie, IL"
1450000002402,Silly Yak Bakery ,3.4,(608) 833-5965,26,"7866 Mineral Point Road, Madison, WI"
1450000002412,Slide Food Cart ,2.9,(608) 630-4824,4,"711 State St, Madison, WI"
1450000002432,Son of a Gun Restaurant ,4.1,(323) 782-9033,199,"8370 W 3rd St, Los Angeles, CA"
1450000002438,Sotto Mare ,4.5,(415) 398-3181,218,"552 Green Street, San Francisco, CA"
1450000002463,Spur Tree Lounge ,2.9,(212) 477-9977,7,"74 Orchard Street, New York, NY"
1450000002465,St. Mary's Pub ,,(415) 529-1325,0,"3845 Mission Street, San Francisco, CA"
1450000002466,St. Vincent ,3.3,(415) 285-1200,19,"1270 Valencia Street, San Francisco, CA"
1450000002486,State Street Brats ,3.4,(608) 255-5544,152,"603 State St, Madison, WI"
1450000002488,Steak Escape ,2.5,(608) 833-9771,23,"118 W Towne Mall, Madison, WI"
1450000002499,Stout Restaurant & Bar ,3.5,(212) 629-6191,159,"133 W 33rd Street, New York, NY"
1450000002504,Subway ,2.6,(608) 441-6887,6,"2850 University Ave, Madison, WI"
1450000002531,Supply House ,,(646) 861-3585,0,"1647 2nd Avenue, New York, NY"
1450000002535,Sushi Boat ,3.3,(415) 781-5111,71,"389 Geary Street, San Francisco, CA"
1450000002538,Sushi Express ,2.8,(608) 467-9688,5,"610 University Ave, Madison, WI"
1450000002540,Sushi Komasa ,4.0,(213) 680-1792,297,"351 E 2nd St, Los Angeles, CA"
1450000002548,Suwanasak Thai Cuisine ,3.7,(608) 270-4440,53,"811 S. Gammon Rd., Madison, WI"
1450000002550,Swagat Restaurant ,4.0,(608) 836-9399,322,"707 N High Point Rd, Madison, WI"
1450000002555,Sweet Maple ,3.9,(415) 655-9169,129,"2101 Sutter Street, San Francisco, CA"
1450000002577,Taco Bell ,,(608) 249-7312,0,"4120 E Washington Ave, Madison, WI"
1450000002584,Taco in a Bag ,2.6,(773) 954-2114,6,"4703 N. Lincoln Avenue, Chicago, IL"
1450000002621,Taqueria Los Comales ,2.9,(773) 276-0627,8,"2148 N. Milwaukee Avenue, Chicago, IL"
1450000002649,Teddywedgers ,3.7,(608) 230-5360,45,"101 State St, Madison, WI"
1450000002651,Tehuitzingo ,4.4,(212) 397-5956,96,"695 10th Avenue, New York, NY"
1450000002656,Teriyaki Sushi Express ,3.5,(608) 271-4000,37,"3044 Fish Hatchery Rd, Fitchburg, WI"
1450000002667,Thai Noodles ,4.4,(608) 270-9527,492,"5957 Mckee Rd, Fitchburg, WI"
1450000002679,The Briks ,,(213) 746-7766,0,"1111 S Hope St, Los Angeles, CA"
1450000002680,The Buena Vista ,3.9,(415) 474-5044,422,"2765 Hyde Street, San Francisco, CA"
1450000002693,The Counter ,3.5,(213) 228-7800,32,"725 W 7th St, Los Angeles, CA"
1450000002697,The Cricketers Arms ,,(212) 619-5550,0,"57 Murray Street, New York, NY"
1450000002703,The Edison ,3.7,(213) 613-0000,385,"108 W 2nd St, Los Angeles, CA"
1450000002705,The Escondite ,3.2,(213) 626-1800,17,"410 Boyd St, Los Angeles, CA"
1450000002715,The Green Owl Cafe ,4.1,(608) 285-5290,237,"1970 Atwood Ave, Madison, WI"
1450000002730,The Little Door ,3.6,(323) 951-1210,160,"8164 W 3rd St, Los Angeles, CA"
1450000002731,The Little Owl ,3.8,(212) 741-4695,511,"90 Bedford Street, New York, NY"
1450000002735,The Meatball Shop ,3.3,(212) 257-6121,17,"1462 2nd Avenue, New York, NY"
1450000002736,The Nitty Gritty ,3.5,(608) 251-2521,145,"223 N Frances St, Madison, WI"
1450000002738,The Old Fashioned ,4.3,(608) 310-4545,1602,"23 N Pinckney St, Madison, WI"
