#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.Id
#foreign_key_rtable=rtable.Id
#ltable=POINTER
_id,ltable.Id,rtable.Id,ltable.Director,ltable.Name,ltable.Year,rtable.Director,rtable.Name,rtable.YearRange,gold
377,tt0032637,invisible_man_returns,A. Edward Sutherland,The Invisible Woman,1940,Joe May,The Invisible Man Returns,1939 1940 1941,0
424,tt0034583,yankee_doodle_dandy,Michael Curtiz,Casablanca,1942,"Michael Curtiz,Hugh MacMullan",Yankee Doodle Dandy,1941 1942 1943,0
471,tt0036261,phantom_of_the_opera_1943,Arthur Lubin,Phantom of the Opera,1943,"Anthony D.P. Mann,Arthur Lubin",Phantom of the Opera,1942 1943 1944,1
512,tt0037303,sherlock_holmes_and_the_spider_woman,Roy William Neill,The Spider Woman,1944,Roy William Neill,Sherlock Holmes and the Spider Woman,1943 1944 1945,0
513,tt0037303,sherlock_holmes_and_the_woman_in_green,Roy William Neill,The Spider Woman,1944,Roy William Neill,Sherlock Holmes and the Woman in Green,1944 1945 1946,0
540,tt0037913,1015000-night_and_day,Michael Curtiz,Mildred Pierce,1945,Michael Curtiz,Night and Day,1945 1946 1947,0
572,tt0038776,1015000-night_and_day,Michael Curtiz,Night and Day,1946,Michael Curtiz,Night and Day,1945 1946 1947,1
616,tt0040367,foreign_affair,Billy Wilder,A Foreign Affair,1948,Billy Wilder,A Foreign Affair,1947 1948 1949,1
618,tt0040369,fort_apache,John Ford,Fort Apache,1948,John Ford,Fort Apache,1947 1948 1949,1
626,tt0040694,paleface,Vincente Minnelli,The Pirate,1948,"Norman McLeod,Norman Z. McLeod",The Paleface,1947 1948 1949,0
649,tt0041547,1007154-father_of_the_bride,Fred C. Brannon,King of the Rocket Men,1949,Vincente Minnelli,Father of the Bride,1949 1950 1951,0
669,tt0042250,highway-301-1950,Andrew L. Stone,Highway 301,1950,Andrew L. Stone,Highway 301,1949 1950 1951,1
699,tt0043131,copper_canyon,John Farrow,Where Danger Lives,1950,John Farrow,Copper Canyon,1949 1950 1951,0
701,tt0043274,1004186-cinderella,"Clyde Geronimi,Wilfred Jackson",Alice in Wonderland,1951,"Clyde Geronimi,Wilfred Jackson,Hamilton Luske",Cinderella,1949 1950 1951,0
709,tt0043338,place_in_the_sun,Billy Wilder,Ace in the Hole,1951,"George Stevens,George Stevens Jr.",A Place in the Sun,1950 1951 1952,0
719,tt0043778,1017062-radar_men_from_the_moon,Edgar G. Ulmer,The Man from Planet X,1951,"Fred Brannon,Fred C. Brannon",Radar Men from the Moon,1951 1952 1953,0
721,tt0043778,red_planet_mars,Edgar G. Ulmer,The Man from Planet X,1951,Harry Horner,Red Planet Mars,1951 1952 1953,0
728,tt0043924,place_in_the_sun,George Stevens,A Place in the Sun,1951,"George Stevens,George Stevens Jr.",A Place in the Sun,1950 1951 1952,1
752,tt0044672,greatest_show_on_earth,Cecil B. DeMille,The Greatest Show on Earth,1952,Cecil B. DeMille,The Greatest Show on Earth,1951 1952 1953,1
768,tt0045094,thats-my-boy-sailor-beware,Hal Walker,Road to Bali,1952,Hal Walker,That's My Boy,1950 1951 1952,0
780,tt0045492,magnificent_obsession,Douglas Sirk,All I Desire,1953,Douglas Sirk,Magnificent Obsession,1953 1954 1955,0
788,tt0045810,1014138-monkey_business,Howard Hawks,Gentlemen Prefer Blondes,1953,Howard Hawks,Monkey Business,1951 1952 1953,0
812,tt0046269,salome_1953,William Dieterle,Salome,1953,William Dieterle,Salome,1952 1953 1954,1
855,tt0047422,river_of_no_return,"Otto Preminger,Jean Negulesco",River of No Return,1954,Otto Preminger,River of No Return,1953 1954 1955,1
876,tt0048261,kiss_me_deadly,Robert Aldrich,Kiss Me Deadly,1955,Robert Aldrich,Kiss Me Deadly,1954 1955 1956,1
886,tt0048554,1004906-creature_from_the_black_lagoon,Jack Arnold,Revenge of the Creature,1955,Jack Arnold,Creature from the Black Lagoon,1953 1954 1955,0
897,tt0048728,dial_m_for_murder,Alfred Hitchcock,To Catch a Thief,1955,Alfred Hitchcock,Dial M for Murder,1953 1954 1955,0
898,tt0048728,the_man_who_knew_too_much_1956,Alfred Hitchcock,To Catch a Thief,1955,Alfred Hitchcock,The Man Who Knew Too Much,1955 1956 1957,0
907,tt0048960,1209731-1984,"Michael Anderson,John Farrow",Around the World in Eighty Days,1956,Michael Anderson,1984,1955 1956 1957,0
909,tt0048967,kiss_me_deadly,Robert Aldrich,Autumn Leaves,1956,Robert Aldrich,Kiss Me Deadly,1954 1955 1956,0
922,tt0049406,killers_kiss,Stanley Kubrick,The Killing,1956,Stanley Kubrick,Killer's Kiss,1954 1955 1956,0
950,tt0050147,godzilla_king_of_the_monsters,Roger Corman,Attack of the Crab Monsters,1957,"Ishir Honda,Terry O. Morse","Godzilla, King of the Monsters!",1955 1956 1957,0
957,tt0050371,miracle_in_the_rain,Elia Kazan,A Face in the Crowd,1957,"Ben Hecht,Rudolph Mat",Miracle in the Rain,1955 1956 1957,0
996,tt0051622,1007600-fly,Kurt Neumann,The Fly,1958,Kurt Neumann,The Fly,1957 1958 1959,1
997,tt0051622,kronos,Kurt Neumann,The Fly,1958,Kurt Neumann,Kronos,1957 1958 1959,0
1001,tt0051658,gigi,Vincente Minnelli,Gigi,1958,"Corinne Marchand,Charles Walters,Edwin Jerome,Eva Gabor,Hermione Gingold,Isabel Jeans,Jacques Bergerac,John Abbott,Leslie Caron,Louis Jourdan,Maurice Chevalier,Vincente Minnelli",Gigi,1957 1958 1959,1
1019,tt0052655,bucket_of_blood,Roger Corman,A Bucket of Blood,1959,Roger Corman,A Bucket of Blood,1958 1959 1960,1
1032,tt0053054,mating_game,George Marshall,The Mating Game,1959,George Marshall,The Mating Game,1958 1959 1960,1
1033,tt0053085,1007600-fly,Terence Fisher,The Mummy,1959,Kurt Neumann,The Fly,1957 1958 1959,0
1034,tt0053085,1010004-hound_of_the_baskervilles,Terence Fisher,The Mummy,1959,Terence Fisher,The Hound of the Baskervilles,1958 1959 1960,0
1052,tt0053363,13_ghosts,William Castle,The Tingler,1959,William Castle,13 Ghosts,1959 1960 1961,0
1078,tt0054195,1016512-pollyanna,David Swift,Pollyanna,1960,"David Swift (II),David Swift",Pollyanna,1959 1960 1961,1
1107,tt0055031,1010555-inherit_the_wind,Stanley Kramer,Judgment at Nuremberg,1961,Stanley Kramer,Inherit the Wind,1959 1960 1961,0
1123,tt0055304,tower-of-london,Roger Corman,Pit and the Pendulum,1961,Roger Corman,Tower of London,1961 1962 1963,0
1128,tt0055633,young_savages,John Frankenheimer,The Young Savages,1961,John Frankenheimer,The Young Savages,1960 1961 1962,1
1130,tt0055781,1016369-pit_and_the_pendulum,Edward L. Cahn,Beauty and the Beast,1962,Roger Corman,Pit and the Pendulum (The Pit and the Pendulum),1960 1961 1962,0
1137,tt0055824,kings_of_the_sun,J. Lee Thompson,Cape Fear,1962,J. Lee Thompson,Kings of the Sun,1962 1963 1964,0
1176,tt0057193,its_a_mad_mad_mad_mad_world,Stanley Kramer,"It's a Mad, Mad, Mad, Mad World",1963,Stanley Kramer,"It's a Mad, Mad, Mad, Mad World",1962 1963 1964,1
1189,tt0057449,1021067-terror,Roger Corman,The Raven,1963,Roger Corman,Tales of Terror,1961 1962 1963,0
1191,tt0057449,the_intruder_1962,Roger Corman,The Raven,1963,Roger Corman,The Intruder,1961 1962 1963,0
1196,tt0057518,mary_poppins,Robert Stevenson,Son of Flubber,1963,Robert Stevenson,Mary Poppins,1963 1964 1965,0
1209,tt0057693,the-masque-of-the-red-death,Roger Corman,X: The Man with the X-Ray Eyes,1963,Roger Corman,The Masque of the Red Death,1963 1964 1965,0
1228,tt0058530,robinson_crusoe_on_mars,Byron Haskin,Robinson Crusoe on Mars,1964,Byron Haskin,Robinson Crusoe on Mars,1963 1964 1965,1
1293,tt0062362,thoroughly_modern_millie,George Roy Hill,Thoroughly Modern Millie,1967,George Roy Hill,Thoroughly Modern Millie,1966 1967 1968,1
1378,tt0067454,blood_mania,John Waters,Multiple Maniacs,1970,"Robert Vincent O'Neill,Robert Vincent O'Neil",Blood Mania,1969 1970 1971,0
1379,tt0067525,scarecrow1972,Boris Sagal,The Omega Man,1971,Boris Sagal,Scarecrow,1971 1972 1973,0
1384,tt0067800,1008243-getaway,Sam Peckinpah,Straw Dogs,1971,Sam Peckinpah,The Getaway,1971 1972 1973,0
1386,tt0067927,1022504-vanishing_point,Richard C. Sarafian,Vanishing Point,1971,"Richard C. Sarafian,Stephen A. Smith,Julia Szucs",Vanishing Point,1970 1971 1972,1
1421,tt0069280,slaughterhouse_five,George Roy Hill,Slaughterhouse-Five,1972,George Roy Hill,Slaughterhouse-Five,1971 1972 1973,1
1422,tt0069303,sounder,Martin Ritt,Sounder,1972,Martin Ritt,Sounder,1971 1972 1973,1
1441,tt0070257,night_of_dark_shadows,"Jack Deerson,Barbara Peeters",The Dark Side of Tomorrow,1970,"Dan Curtis,Alex Stevens",Night of Dark Shadows,1970 1971 1972,0
1502,tt0072926,the_collection_1976,Clint Eastwood,The Eiger Sanction,1975,Michael Apted,The Collection,1975 1976 1977,0
1525,tt0074285,1003625-carrie,Brian De Palma,Carrie,1976,Brian DePalma,Carrie,1975 1976 1977,1
1530,tt0074540,the-food-of-the-gods,Bert I. Gordon,The Food of the Gods,1976,Bert I. Gordon,The Food of the Gods,1975 1976 1977,1
1549,tt0075005,deep,Richard Donner,The Omen,1976,Peter Yates,The Deep,1976 1977 1978,0
1589,tt0076295,death_weekend,Roger Watkins,The Last House on Dead End Street,1977,William Fruet,Death Weekend (The House by the Lake),1975 1976 1977,0
1618,tt0077402,1005339-dawn_of_the_dead,George A. Romero,Dawn of the Dead,1978,George A. Romero,Dawn of the Dead,1978 1979 1980,1
1624,tt0077416,deer_hunter,Michael Cimino,The Deer Hunter,1978,Michael Cimino,The Deer Hunter,1977 1978 1979,1
1629,tt0077663,1009427-heaven_can_wait,"Warren Beatty,Buck Henry",Heaven Can Wait,1978,"Warren Beatty,Buck Henry",Heaven Can Wait,1977 1978 1979,1
1636,tt0077745,1005339-dawn_of_the_dead,Philip Kaufman,Invasion of the Body Snatchers,1978,George A. Romero,Dawn of the Dead,1978 1979 1980,0
1642,tt0077869,lord_of_the_rings,Ralph Bakshi,The Lord of the Rings,1978,Ralph Bakshi,The Lord of the Rings,1977 1978 1979,1
1654,tt0078723,1941,Steven Spielberg,1941,1979,Steven Spielberg,1941,1978 1979 1980,1
1672,tt0079082,the_driller_killer,Abel Ferrara,The Driller Killer,1979,"Abel Ferrara,Sean Weathers",The Driller Killer,1978 1979 1980,1
1685,tt0079688,over_the_edge,Jonathan Kaplan,Over the Edge,1979,Jonathan Kaplan,Over the Edge,1978 1979 1980,1
1696,tt0080130,1023461-when_a_stranger_calls,Fred Walton,When a Stranger Calls,1979,Fred Walton,When a Stranger Calls,1978 1979 1980,1
1699,tt0080354,alligator,Lewis Teague,Alligator,1980,Lewis Teague,Alligator,1979 1980 1981,1
1728,tt0080749,jerk,John Carpenter,The Fog,1980,Carl Reiner,The Jerk,1978 1979 1980,0
1770,tt0081974,tootsie,Sydney Pollack,Absence of Malice,1981,Sydney Pollack,Tootsie,1981 1982 1983,0
1781,tt0082146,caveman,Carl Gottlieb,Caveman,1981,Carl Gottlieb,Caveman,1980 1981 1982,1
1785,tt0082200,continental_divide,Michael Apted,Continental Divide,1981,Michael Apted,Continental Divide,1980 1981 1982,1
1792,tt0082377,final_conflict_omen_iii,Graham Baker,The Final Conflict,1981,Graham Baker,Omen III: The Final Conflict,1980 1981 1982,0
1805,tt0082474,the_grim_reaper_1980,Jim Henson,The Great Muppet Caper,1981,Joe D'Amato,The Grim Reaper,1979 1980 1981,0
1817,tt0082812,1015095-nighthawks,Ken Hughes,Night School,1981,Bruce Malmuth,Nighthawks,1980 1981 1982,0
1829,tt0082971,et_the_extraterrestrial,Steven Spielberg,Raiders of the Lost Ark,1981,Steven Spielberg,E.T. The Extra-Terrestrial,1981 1982 1983,0
1831,tt0082979,reds,Warren Beatty,Reds,1981,Warren Beatty,Reds,1980 1981 1982,1
1918,tt0085334,1004151-christmas_story,Bob Clark,A Christmas Story,1983,"Bob Clark (III),Bob Clark",A Christmas Story,1982 1983 1984,1
1942,tt0086050,hell_night,Tom McLoughlin,One Dark Night,1982,"Tom DeSimone,Tom De Simone",Hell Night,1980 1981 1982,0
2008,tt0087054,choose_me,Alan Rudolph,Choose Me,1984,Alan Rudolph,Choose Me,1983 1984 1985,1
2010,tt0087065,psycho_2,Richard Franklin,Cloak & Dagger,1984,Richard Franklin,Psycho II,1982 1983 1984,0
2019,tt0087262,1004567-commando,Mark L. Lester,Firestarter,1984,Mark L. Lester,Commando,1984 1985 1986,0
2043,tt0087796,1015060-night_patrol,"John 'Bud' Cardos,Mark Rosman",Night Shadows,1984,Jackie Kong,Night Patrol,1983 1984 1985,0
2044,tt0087799,1004047-children_of_the_corn,Thom Eberhardt,Night of the Comet,1984,Fritz Kiersch,Children of the Corn,1983 1984 1985,0
2102,tt0088275,the_times_of_harvey_milk,Rob Epstein,The Times of Harvey Milk,1984,"Robert Epstein,Rob Epstein",The Times of Harvey Milk,1983 1984 1985,1
2110,tt0088707,1018891-short_circuit,John Badham,American Flyers,1985,John Badham,Short Circuit,1985 1986 1987,0
2120,tt0088708,born_american,Sam Firstenberg,American Ninja,1985,Renny Harlin,Born American,1985 1986 1987,0
2143,tt0088993,1024232-year_of_the_dragon,George A. Romero,Day of the Dead,1985,Michael Cimino,Year of the Dragon,1984 1985 1986,0
2154,tt0089118,big_shots,Robert Mandel,F/X,1986,Robert Mandel,Big Shots,1986 1987 1988,0
2184,tt0089424,kiss_of_the_spider_woman,Hector Babenco,Kiss of the Spider Woman,1985,Hector Babenco,Kiss of the Spider Woman,1984 1985 1986,1
2219,tt0089885,from_beyond,Stuart Gordon,Re-Animator,1985,Stuart Gordon,From Beyond,1985 1986 1987,0
2233,tt0090056,1021312-three_amigos,John Landis,Spies Like Us,1985,John Landis,Three Amigos!,1985 1986 1987,0
2303,tt0090886,1024232-year_of_the_dragon,Bruce Beresford,Crimes of the Heart,1986,Michael Cimino,Year of the Dragon,1984 1985 1986,0
2307,tt0090886,kiss_of_the_spider_woman,Bruce Beresford,Crimes of the Heart,1986,Hector Babenco,Kiss of the Spider Woman,1984 1985 1986,0
2344,tt0091338,to_live_and_die_in_la,William Fruet,Killer Party,1986,William Friedkin,To Live and Die in L.A.,1984 1985 1986,0
2377,tt0091790,some_kind_of_wonderful,Howard Deutch,Pretty in Pink,1986,Howard Deutch,Some Kind of Wonderful,1986 1987 1988,0
2393,tt0091993,spaceballs,Harry Winer,SpaceCamp,1986,Mel Brooks,Spaceballs,1986 1987 1988,0
2400,tt0092099,beverly_hills_cop_2,Tony Scott,Top Gun,1986,Tony Scott,Beverly Hills Cop II,1986 1987 1988,0
2409,tt0092513,adventures_in_babysitting,Chris Columbus,Adventures in Babysitting,1987,Chris Columbus,Adventures in Babysitting,1986 1987 1988,1
2415,tt0092626,1017002-quick_and_the_dead,Eugene Marner,Beauty and the Beast,1987,Robert Day,The Quick and the Dead,1986 1987 1988,0
2422,tt0092675,bloodsport,Newt Arnold,Bloodsport,1988,Newt Arnold,Bloodsport,1987 1988 1989,1
2423,tt0092675,true_blood,Newt Arnold,Bloodsport,1988,"Frank Kerr,Peter Maris",True Blood,1988 1989 1990,0
2458,tt0093349,1039810-king_lear,Jean-Luc Godard,King Lear,1987,Jean-Luc Godard,King Lear,1986 1987 1988,1
2515,tt0094072,back-to-school,Carl Reiner,Summer School,1987,Alan Metter,Back to School,1985 1986 1987,0
2535,tt0094737,beaches,Penny Marshall,Big,1988,Garry Marshall,Beaches,1987 1988 1989,0
2575,tt0095270,1009096-hairspray,John Waters,Hairspray,1988,John Waters,Hairspray,1987 1988 1989,1
2577,tt0095271,halloween_4_the_return_of_michael_myers,Dwight H. Little,Halloween 4: The Return of Michael Myers,1988,"Dwight H. Little,Mark Cullingham",Halloween 4: The Return of Michael Myers,1987 1988 1989,1
2603,tt0095756,big_bad_mama_ii,Jim Wynorski,Not of This Earth,1988,Jim Wynorski,Big Bad Mama II,1986 1987 1988,0
2604,tt0095756,not_of_this_earth_1988,Jim Wynorski,Not of This Earth,1988,Jim Wynorski,Not of this Earth,1987 1988 1989,1
2663,tt0096378,vibes,Ken Kwapis,Vibes,1988,Ken Kwapis,Vibes,1987 1988 1989,1
2667,tt0096445,two_moon_junction,Zalman King,Wildfire,1988,Zalman King,Two Moon Junction,1987 1988 1989,0
2682,tt0096874,return_of_the_living_dead_2,Robert Zemeckis,Back to the Future Part II,1989,Ken Wiederhorn,Return of the Living Dead Part II,1987 1988 1989,0
2690,tt0096928,bill_and_teds_excellent_adventure,Stephen Herek,Bill & Ted's Excellent Adventure,1989,Stephen Herek,Bill and Ted's Excellent Adventure,1988 1989 1990,1
2725,tt0097625,critters_2_the_main_course,John Fasano,The Jitters,1989,"Mick Garris,Mick Harris",Critters 2: The Main Course,1987 1988 1989,0
2731,tt0097659,1011487-kickboxer,"Mark DiSalle,David Worth",Kickboxer,1989,"David Worth (II),David Worth,Mark DiSalle,Mark Di Salle",Kickboxer,1988 1989 1990,1
2732,tt0097662,get_smart_again_the_movie,John Dahl,Kill Me Again,1989,"Gary Nelson,Mel Brooks",Get Smart Again,1988 1989 1990,0
2734,tt0097731,let_it_ride,Joe Pytka,Let It Ride,1989,Joe Pytka,Let It Ride,1988 1989 1990,1
2780,tt0098621,1016239-phantom_of_the_opera,Danny DeVito,The War of the Roses,1989,"Dwight H. Little,Dwight Little",The Phantom of the Opera,1988 1989 1990,0
2781,tt0098621,food-of-the-gods-ii,Danny DeVito,The War of the Roses,1989,Damian Lee,Food of the Gods II,1988 1989 1990,0
2815,tt0099512,ernest-scared-stupid,John R. Cherry III,Ernest Goes to Jail,1990,"John Cherry,John R. Cherry III",Ernest Scared Stupid,1990 1991 1992,0
2816,tt0099528,exorcist_3,William Peter Blatty,The Exorcist III,1990,William Peter Blatty,The Exorcist III,1989 1990 1991,1
2824,tt0099674,back_to_the_future_2,Francis Ford Coppola,The Godfather: Part III,1990,Robert Zemeckis,Back to the Future Part II,1988 1989 1990,0
2828,tt0099685,1037581-cape_fear,Martin Scorsese,Goodfellas,1990,Martin Scorsese,Cape Fear,1990 1991 1992,0
2856,tt0100054,children_of_the_night,Harry Hook,Lord of the Flies,1990,Tony Randel,Children of the Night,1990 1991 1992,0
2862,tt0100114,1016239-phantom_of_the_opera,Dwight H. Little,Marked for Death,1990,"Dwight H. Little,Dwight Little",The Phantom of the Opera,1988 1989 1990,0
2868,tt0100157,misery,Rob Reiner,Misery,1990,Rob Reiner,Misery,1989 1990 1991,1
2873,tt0100212,steel_magnolias,Herbert Ross,My Blue Heaven,1990,Herbert Ross,Steel Magnolias,1988 1989 1990,0
2878,tt0100258,children_of_the_night,Tom Savini,Night of the Living Dead,1990,Tony Randel,Children of the Night,1990 1991 1992,0
2890,tt0100405,pretty_woman,Garry Marshall,Pretty Woman,1990,Garry Marshall,Pretty Woman,1989 1990 1991,1
2891,tt0100419,problem_child,Dennis Dugan,Problem Child,1990,"Robert Simonds,Dennis Dugan",Problem Child,1989 1990 1991,1
2909,tt0100928,1031635-rookie,Clint Eastwood,White Hunter Black Heart,1990,Clint Eastwood,The Rookie,1989 1990 1991,0
2923,tt0101516,bugsy,Barry Levinson,Bugsy,1991,Barry Levinson,Bugsy,1990 1991 1992,1
2930,tt0101587,tremors,Ron Underwood,City Slickers,1991,Ron Underwood,Tremors,1989 1990 1991,0
2935,tt0101627,housesitter,Kristine Peterson,Critters 3,1991,Frank Oz,Housesitter,1991 1992 1993,0
2943,tt0101757,dangerous_game_1990,Stephen Herek,Don't Tell Mom the Babysitter's Dead,1991,Stephen Hopkins,Dangerous Game,1989 1990 1991,0
2955,tt0101812,end_of_innocence,Dyan Cannon,The End of Innocence,1990,Dyan Cannon,The End of Innocence,1989 1990 1991,1
2956,tt0101821,ernest-scared-stupid,John R. Cherry III,Ernest Scared Stupid,1991,"John Cherry,John R. Cherry III",Ernest Scared Stupid,1990 1991 1992,1
2961,tt0101912,1037161-frankie_and_johnny,Garry Marshall,Frankie and Johnny,1991,Garry Marshall,Frankie & Johnny,1990 1991 1992,1
2972,tt0102065,house_party_2,"George Jackson,Doug McHenry",House Party 2,1991,"Doug McHenry,George Jackson",House Party 2,1990 1991 1992,1
2989,tt0102655,lethal_weapon_3,Mark DiSalle,The Perfect Weapon,1991,Richard Donner,Lethal Weapon 3,1991 1992 1993,0
2994,tt0102798,1033052-robin_hood,Kevin Reynolds,Robin Hood: Prince of Thieves,1991,John Irvin,Robin Hood,1990 1991 1992,0
3015,tt0103262,1041862-forever_young,Steve Miner,Wild Hearts Can't Be Broken,1991,Steve Miner,Forever Young,1991 1992 1993,0
3016,tt0103262,wild_at_heart,Steve Miner,Wild Hearts Can't Be Broken,1991,David Lynch,Wild At Heart,1989 1990 1991,0
3023,tt0103670,american_ninja_v,Martin Bell,American Heart,1992,"Bobby Jean Leonard,Bobby Leonard,Bobby Gene Leonard",American Ninja V,1992 1993 1994,0
3035,tt0103893,buffy_the_vampire_slayer,Fran Rubel Kuzui,Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,Buffy the Vampire Slayer,1991 1992 1993,1
3050,tt0104291,wild_hearts_cant_be_broken,Steve Miner,Forever Young,1992,Steve Miner,Wild Hearts Can't Be Broken,1990 1991 1992,0
3064,tt0104511,innocent_blood,John Landis,Innocent Blood,1992,John Landis,Innocent Blood,1991 1992 1993,1
3073,tt0104694,league_of_their_own,Penny Marshall,A League of Their Own,1992,Penny Marshall,A League of Their Own,1991 1992 1993,1
3080,tt0104868,dont_tell_mom_the_babysitters_dead,Stephen Herek,The Mighty Ducks,1992,Stephen Herek,Don't Tell Mom the Babysitter's Dead,1990 1991 1992,0
3099,tt0105411,trust_1991,Hal Hartley,Simple Men,1992,Hal Hartley,Trust,1990 1991 1992,0
3104,tt0105415,single_white_female,Cameron Crowe,Singles,1992,Barbet Schroeder,Single White Female,1991 1992 1993,0
3106,tt0105417,sister_act_2_back_in_the_habit,Emile Ardolino,Sister Act,1992,Bill Duke,Sister Act 2: Back in the Habit,1992 1993 1994,0
3122,tt0105698,universal_soldier,Roland Emmerich,Universal Soldier,1992,Roland Emmerich,Universal Soldier,1991 1992 1993,1
3133,tt0106223,young-indiana-jones-and-the-hollywood-follies,Stephen Sommers,The Adventures of Huck Finn,1993,Michael Schultz,The Adventures of Young Indiana Jones: Hollywood Follies,1993 1994 1995,0
3164,tt0106665,dark_tide,Luca Bercovici,Dark Tide,1994,Luca Bercovici,Dark Tide,1992 1993 1994,1
3174,tt0106912,in_the_line_of_fire,Robert Lieberman,Fire in the Sky,1993,Wolfgang Petersen,In the Line of Fire,1992 1993 1994,0
3247,tt0107870,robot_wars,"Albert Band,Charles Band",Prehysteria!,1993,"Albert Band,Charles Band",Robot Wars,1992 1993 1994,0
3249,tt0107927,ref,Russell Mulcahy,The Real McCoy,1993,Ted Demme,The Ref,1993 1994 1995,0
3259,tt0108002,rudy,David Anspaugh,Rudy,1993,David Anspaugh,Rudy,1992 1993 1994,1
3287,tt0108473,vagrant,George Sluizer,The Vanishing,1993,Chris Walas,The Vagrant,1991 1992 1993,0
3290,tt0108525,waynes_world,Stephen Surjik,Wayne's World 2,1993,Penelope Spheeris,Wayne's World,1991 1992 1993,0
3309,tt0109198,before-your-eyes-angelies-secret,Jonathan Kaplan,Bad Girls,1994,Jonathan Klein,Before Your Eyes: Angelie's Secret,1994 1995 1996,0
3313,tt0109297,1068182-heat,Michael Apted,Blink,1994,Michael Mann,Heat,1994 1995 1996,0
3341,tt0109506,crow,Alex Proyas,The Crow,1994,Alex Proyas,The Crow,1993 1994 1995,1
3364,tt0109838,daybreak_1993,"Tom Stern,Alex Winter",Freaked,1993,Stephen Tolkin,Daybreak,1992 1993 1994,0
3370,tt0110146,intersection,Mark Rydell,Intersection,1994,Mark Rydell,Intersection,1993 1994 1995,1
3411,tt0110432,skateboard_kid_2,Stephen Furst,Magic Kid II,1994,Andrew Stevens,The Skateboard Kid II,1994 1995 1996,0
3415,tt0110475,1045175-wrong_man,Chuck Russell,The Mask,1994,"Jim McBride,Jim McBride",The Wrong Man,1992 1993 1994,0
3417,tt0110475,1059165-crew,Chuck Russell,The Mask,1994,Carl Colpaert,The Crew,1994 1995 1996,0
3422,tt0110475,ref,Chuck Russell,The Mask,1994,Ted Demme,The Ref,1993 1994 1995,0
3432,tt0110622,the_naked_gun_33_13_the_final_insult_1994,Peter Segal,Naked Gun 33 1/3: The Final Insult,1994,Peter Segal,The Naked Gun 33 1/3: The Final Insult,1993 1994 1995,1
3445,tt0110687,american_president,Rob Reiner,North,1994,Rob Reiner,The American President,1994 1995 1996,0
