#key=_id,,,,,,,,,
#rtable=POINTER,,,,,,,,,
#foreign_key_ltable=ltable._id,,,,,,,,,
#foreign_key_rtable=rtable._id,,,,,,,,,
#ltable=POINTER,,,,,,,,,
_id,ltable._id,rtable._id,ltable.NAME,ltable.PHONENUMBER,ltable.ADDRESS,rtable.NAME,rtable.PHONENUMBER,rtable.ADDRESS,gold
17110,582,5731,Chocolate Shoppe Ice Cream,(608) 255-5454,"468 State St, Madison, WI",Which Wich,(608) 709-1094,"411 State St, Madison, WI 53703",0
17347,589,411,Chop Stop,(424) 274-3500,"8717 Santa Monica Blvd, West Hollywood, CA",Bambou Le Pho,(323) 848-8881,"8351 Santa Monica Blvd, West Hollywood, CA 90069",0
17668,598,3902,Chutney,(415) 931-5541,"511 Jones Street, San Francisco, CA",Pho Tan Hoa,(415) 673-3163,"431 Jones St, San Francisco, CA 94102",0
18221,620,2584,Cocohodo Wilshire,(213) 382-8943,"3500 W 6th St, Los Angeles, CA",Kang Ho Dong Baekjeong,(213) 384-9678,"3465 W 6th St, Los Angeles, CA 90020",0
18222,620,2585,Cocohodo Wilshire,(213) 382-8943,"3500 W 6th St, Los Angeles, CA",Kang Ho Dong Baekjeong,(213) 384-9678,"3465 W 6th St, Los Angeles, CA 90020",0
18772,623,4685,Coffee Bean & Tea Leaf,(310) 557-8435,"10250 Santa Monica Blvd, Los Angeles, CA",Spicy BBQ Restaurant,(323) 663-4211,"5101 Santa Monica Blvd, Los Angeles, CA 90029",0
18902,628,2249,Colibri Mexican Bistro,(415) 440-2737,"438 Geary Street, San Francisco, CA",Hong Kong Lounge,(415) 668-8836,"5322 Geary Blvd, San Francisco, CA 94121",0
18946,632,2982,Commissary,(415) 561-3663,"101 Montgomery Street, San Francisco, CA",Lost Coast Outfitters,(415) 483-2278,"550 Montgomery St, San Francisco, CA 94111",0
20090,663,1319,Crossroads Cafe,(608) 262-5038,"1000 Bascom Mall, Madison, WI",Crossroads Cafe,(608) 262-5038,"1000 Bascom Mall, Madison, WI 53706",1
20258,680,3468,Curd Girl,(608) 555-5555,"100 State St, Madison, WI",Naf Naf Grill,(608) 256-0071,"555 State St, Madison, WI 53703",0
20598,703,1371,Dairyland Family Restaurant,(608) 222-9232,"716 Cottage Grove Rd, Madison, WI",Dairyland Family Restaurant,(608) 222-9232,"716 Cottage Grove Rd, Madison, WI 53716",1
21007,727,1415,Delarosa,(415) 673-7100,"2175 Chestnut Street, San Francisco, CA",Delarosa,(415) 673-7100,"2175 Chestnut St, San Francisco, CA 94123",1
21232,737,3156,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",Marquee New York,(646) 473-0202,"289 10th Ave, New York, NY 10001",0
21234,737,3933,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",Pio Pio,(212) 459-2929,"604 10th Ave, New York, NY 10036",0
21245,737,5743,Desi Deli,(212) 399-9007,"724 10th Avenue, New York, NY",White Oak Oyster Bar & Cocktail Lounge,(646) 692-9347,"818 10th Ave, New York, NY 10019",0
21732,757,1464,Dlux,(608) 467-3130,"117 Martin Luther King Blvd, Madison, WI",DLUX,(608) 467-3130,"117 Martin Luther King Jr Blvd, Madison, WI 53703",1
21858,775,340,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Au Lac DTLA,(213) 617-2533,"710 W 1st St, Los Angeles, CA 90012",0
21912,775,1381,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Danger Dogs,1445980000000,"415 W 8th St, Los Angeles, CA 90006",0
21916,775,1486,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Dong II Jang Restaurant,(213) 383-5757,"3455 W 8th St, Los Angeles, CA 90005",1
21955,775,2101,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Hae Jang Chon Korean BBQ Restaurant,(213) 389-8777,"3821 W 6th St, Los Angeles, CA 90020",0
22010,775,2779,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",LA Sands Boxing Gym,(213) 909-7029,"515 E 4th St, Los Angeles, CA 90013",0
22013,775,2860,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Le Comptoir,(213) 290-0750,"3606 W 6th St, Los Angeles, CA 90020",0
22028,775,3122,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Mapo Kkak Doo Gee Restaurant,(213) 736-6668,"3611 W 6th St, Los Angeles, CA 90020",0
22088,775,4138,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Quarters Korean BBQ,(213) 365-8111,"3465 W 6th St, Los Angeles, CA 90020",0
22117,775,4603,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Smiles Cafe USC,1445980000000,"844 W 32nd St, Los Angeles, CA 90007",0
22163,775,5235,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",The Little Door,(323) 951-1210,"8164 W 3rd St, Los Angeles, CA 90048",0
22174,775,5308,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",The Real 3rd Street Chicken House,(213) 386-1135,"4254 W 3rd St, Los Angeles, CA 90020",0
22184,775,5428,Dong Il Jang,(213) 383-5757,"3455 W 8th St, Los Angeles, CA",Toe Bang Cafe,(213) 387-4905,"3465 W 6th St, Ste 110, Los Angeles, CA 90020",0
22315,785,3556,Dotty Dumpling's Dowry,(608) 259-0000,"317 N Frances St, Madison, WI",Nitty Gritty Birthday Bar,(608) 251-2521,"223 N Frances St, Madison, WI 53703",0
22735,822,5845,Durty Nelly's,(415) 664-2555,"2328 Irving Street, San Francisco, CA",Yummy Yummy,(415) 566-4722,"1015 Irving St, San Francisco, CA 94122",0
22972,836,4751,EDO Japanese Restaurant,(608) 268-0247,"532 S Park St, Madison, WI",Stephanie S.'s review of The Kombucha Sho,1445980000000,"1418 South Park St, Madison, WI 53715",0
23035,841,2245,Einstein Bros Bagels,(608) 242-9889,"3904 E Washington Ave, Madison, WI",Hong Kong Buffet,(608) 240-0762,"2817 E Washington Ave, Madison, WI 53704",0
23106,853,4574,El Cid,(773) 395-0505,"2645 N. Kedzie Avenue, Chicago, IL",Simone G.'s review of West River Caf,(773) 866-2133,"4400 N Kedzie Ave, Chicago, IL 60625",0
23179,862,1583,El Metate,(415) 641-7209,"2406 Bryant Street, San Francisco, CA",El Metate Restaurant,(415) 641-7209,"2406 Bryant St, San Francisco, CA 94110",1
23209,863,4428,El Norteno Tacos,(415) 756-1220,"801 Bryant Street, San Francisco, CA",San Francisco Bay Flowers,(415) 643-6519,"801 N Point St, San Francisco, CA 94109",0
23844,870,1565,El Pollo Loco,(323) 665-1333,"3925 W Sunset Blvd, Los Angeles, CA",El Cochinito Restaurant,(323) 668-0737,"3508 W Sunset Blvd, Los Angeles, CA 90026",0
23953,870,2952,El Pollo Loco,(323) 665-1333,"3925 W Sunset Blvd, Los Angeles, CA",Local,(323) 662-4740,"2943 W Sunset Blvd, Los Angeles, CA 90026",0
24219,874,2744,El Rinconcito Cubano,(773) 489-4440,"3248 W. Fullerton Avenue, Chicago, IL",La Cocina Boricua de la Familia Galarza,(773) 235-7377,"2420 W Fullerton Ave, Chicago, IL 60647",0
24323,876,499,El Salsabor Restaurant,(323) 266-1400,"522 S Lorena St, Los Angeles, CA",Beau Ideal House of Beauty,(323) 369-6904,"714 S Los Angeles St, Los Angeles, CA 90014",0
24663,878,2751,El Taco Loco #2,(415) 282-7018,"3274 24th Street, San Francisco, CA",La Espiga De Oro,(415) 826-1363,"2916 24th St, San Francisco, CA 94110",0
24667,878,2953,El Taco Loco #2,(415) 282-7018,"3274 24th Street, San Francisco, CA",Local Mission Eatery,(415) 655-3422,"3111 24th St, San Francisco, CA 94110",0
24670,878,3542,El Taco Loco #2,(415) 282-7018,"3274 24th Street, San Francisco, CA",Nico,(415) 359-1000,"3228 Sacramento Street, San Francisco, CA 94115",0
26174,907,1639,Eno Vino Wine Bar & Bistro,(608) 664-9565,"601 Junction Rd, Madison, WI",Eno Vino Wine Bar & Bistro,(608) 664-9565,"601 Junction Rd, Madison, WI 53717",1
26343,921,3930,Ethiopian Diamond,(773) 338-6100,"6120 N. Broadway Street, Chicago, IL",Ping Pong,(773) 281-7575,"3322 N Broadway St, Chicago, IL 60657",0
26406,936,1695,Falling Water Cafe,(608) 831-2000,"1313 John Q Hammons Dr, Middleton, WI",Falling Water Cafe,(608) 831-2000,"1313 John Q Hammons Dr, Middleton, WI 53562",1
26414,939,1700,Famous Yeti's Pizza,(608) 877-1544,"971 N Page St, Stoughton, WI",Famous Yetis Pizza,(608) 877-1544,"971 N Page St, Stoughton, WI 53589",1
26573,946,471,Fast Wok,(608) 833-6738,"106 W Towne Mall, Madison, WI",Bath & Body Works,(608) 826-0626,"23 W Towne Mall, Madison, WI 53719",0
27608,977,129,Five Guys Burgers and Fries,(608) 255-2520,"517 State St., Madison, WI",Alan Koa Salon & Spa,(608) 284-1956,"202 State St, Madison, WI 53703",0
27701,977,5534,Five Guys Burgers and Fries,(608) 255-2520,"517 State St., Madison, WI",Umami Buns,(608) 819-6319,"716-798 State St, Madison, WI 53706",0
27739,980,1775,Flaming Wok,(608) 240-1085,"4237 Lien Rd Ste H, Madison, WI",Flaming Wok,(608) 240-1085,"4237 Lien Rd, Madison, WI 53704",1
28250,1004,1618,Fosdal Home Bakery,(608) 873-3073,"243 E Main St, Stoughton, WI",Elsings 2nd Hand Shop,(608) 873-8997,"421 E Main St, Stoughton, WI 53589",0
29175,1023,1863,Frida Tacos,(323) 549-4666,"7217 Melrose, Los Angeles, CA",Froma on Melrose,(323) 653-3700,"7960 Melrose Ave, Los Angeles, CA 90046",0
29774,1081,1956,Glass Nickel Pizza Co.,(608) 218-9000,"5003 University Ave Ste 170, Madison, WI",Glass Nickel Pizza,(608) 218-9000,"5003 University Ave, Madison, WI 53705",1
29775,1081,2035,Glass Nickel Pizza Co.,(608) 218-9000,"5003 University Ave Ste 170, Madison, WI",Great Harvest Bread Company,(608) 284-9309,"3258 University Ave, Madison, WI 53705",0
29854,1087,5059,Golden Apple Grill & Breakfast House,(773) 528-1413,"2971 N. Lincoln Avenue, Chicago, IL",The Bad Apple,(773) 360-8406,"4300 N Lincoln Ave, Chicago, IL 60618",0
29856,1087,5625,Golden Apple Grill & Breakfast House,(773) 528-1413,"2971 N. Lincoln Avenue, Chicago, IL",Via Lima,(773) 348-4900,"4024 N Lincoln Ave, Chicago, IL 60618",0
30376,1108,742,Gordo Taqueria,(415) 668-8226,"5450 Geary Boulevard, San Francisco, CA",Brian S.'s review of Hong Kong Loung,(415) 668-8836,"5322 Geary Blvd, San Francisco, CA 94121",0
30431,1110,1988,Gotham New York Bagels & Eats,(608) 467-7642,"112 E Mifflin St, Madison, WI",Good Food,(608) 217-5227,"33 E Main St, Madison, WI 53703",0
30432,1110,1989,Gotham New York Bagels & Eats,(608) 467-7642,"112 E Mifflin St, Madison, WI",Good Food,(608) 217-5227,"33 E Main St, Madison, WI 53703",0
30874,1120,2022,Granite City Food & Brewery,(608) 829-0700,"72 W Towne Mall, Madison, WI",Granite City Food & Brewery,(608) 829-0700,"72 West Towne Mall, Madison, WI 53719",1
