index,id,title,manufacturer,price,source,entity_id
120,2193,adobe production studio premium software suite video software bundles,,1698.95,1,19
29,497,microsoft data analyzer 2002,microsoft,179.0,0,20
122,1569,microsoft ho2-00003 data analyzer 2002 complete package 1 user,microsoft,154.99,1,20
123,1283,namo webeditor 2006,namo,99.99,0,21
123,496,csdc namo webeditor suite 2006,,83.92,1,21
56,521,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,0,22
124,1808,microsoft e32-00575 sql server 2005 developer edition x64 complete product dbms 1 developer ( s ) complete product standard english pc,,43.97,1,22
103,1190,punch ! professional home design,punch ! software,89.99,0,23
127,2468,punch software 14100 punch ! professional home design suite for windows,punch software,62.99,1,23
96,570,professor teaches windows xp,individual software,19.99,0,24
128,2861,professor teaches windows xp individual software,,19.99,1,24
130,839,adobe photoshop cs3 extended,adobe,999.0,0,25
138,2607,adobe photoshop cs3 extended software full version for windows,,969.0,1,25
132,829,avid liquid vs 7 software,avid technology,888.75,0,26
139,2766,avid liquid 7.0 professional video editing software for windows professional editing software,,439.95,1,26
38,348,microsoft office & windows training,topics entertainment,29.99,0,27
145,1585,microsoft office and windows training ( win 98 me nt 2000 xp ),,29.95,1,27
133,509,services for netware 5.0,microsoft,149.0,0,28
146,1961,microsoft windows services for netware v. 5.0 complete package,,138.17,1,28
140,536,adobe photoshop elements 4.0 ( mac ),adobe,89.99,0,29
145,471,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39,0,29
157,750,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,1,29
144,1235,photoshop elements 4 edu mac 1u,adobe-education-box,69.0,0,30
158,508,adobe photoshop elements 4.0 mac academic,adobe-education-box,69.99,1,30
43,737,adobe photoshop cs2 ( mac ) [ old version ],adobe,649.0,0,31
159,1667,adobe systems inc 13102124 adobe photoshop cs 2 mac os x v. 10.2.8 to 10.3,adobe systems inc,788.63,1,31
147,828,pinnacle mobile media converter,pinnacle,29.99,0,32
164,2759,pinnacle mobile media converter software for windows ipod software,,29.95,1,32
150,1113,logic express 7.2 upgrade from logic express 6,apple-computer - ( direct ),99.0,0,33
168,948,apple logic express 7.2 upgrade from v. 6,apple-computer - ( direct ),99.99,1,33
160,115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,0,34
171,1685,britannica deluxe 2008,,26.5,1,34
105,15,omnioutliner professional 3.0,csdc,69.95,0,35
174,1970,omnioutliner professional 3.0 for mac,,69.99,1,35
70,654,acrobat professional 8 ( windows ),adobe,273.0,0,36
180,314,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),,157.36,1,36
51,1293,systemsuite 8 professional,individual software,49.99,0,37
184,700,individual software inc systemsuite 8 professional ( us pos ),,46.42,1,37
52,618,pop-up stopper professional,panicware,29.99,0,38
190,291,csdc pop-up stopper professional panicware,,26.14,1,38
101,27,i copy dvds 2 professional edition,me-too-software,69.99,0,39
192,1447,i copydvds 2 professional edition,me-too-software,27.9,1,39
106,175,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21,0,40
196,1485,diskeeper 2007 professional,,46.95,1,40
169,621,entertainment partners budgeting ( mac ),entertainment partners,699.0,0,41
199,289,entertainment partners ep budgeting for film,,415.99,1,41
170,1347,phonics success essentials : grades 7-9,topics education,19.99,0,42
200,598,topics entertainment phonics success essentials,,17.55,1,42
171,1220,atlantis quest,got game,19.99,0,43
201,559,got game entertainment atlantis quest,,17.27,1,43
59,171,microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft licenses,349.83,0,44
203,1472,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94,1,44
71,852,cinescore professional soundtrack edition,sony-pictures-digital-entertainment,249.95,0,45
220,2442,sony media software cinescore soundtrack creation software audio software for video,sony-pictures-digital-entertainment,179.95,1,45
72,118,crystal reports xi professional edition,business objects,495.0,0,46
221,1771,business objects crystal reports xi,,459.99,1,46
180,869,upgrade crystal reports 11 pro french,business objects,479.78,0,47
222,2287,upg crystal reports 11 pro french,,264.99,1,47
182,1142,adobe captivate 2.0,adobe,1083.95,0,48
229,2201,adobe captivate 2 software for windows presentation software,,598.95,1,48
184,561,quicken 2007 basic,intuit,29.95,0,49
234,2386,intuit quicken basic 2007 software for windows tax & finance software,,29.95,1,49
193,961,vegas movie studiodvd +8 plat,sony media,129.95,0,50
237,2307,sony vegas movie studio + dvd v8 platinum edition video editing software professional editing software,,129.95,1,50
462,9,vegas movie studiodvd +8 plat,sony creative software,92.99,1,50
125,1272,punch ! home design architectural series 18,punch ! software,129.99,0,51
239,2744,punch software 42100 punch ! home design architectural series 18 ( small box ),punch software,119.99,1,51
202,1284,punch ! master landscape & home design,punch ! software,99.99,0,52
243,1039,punch software 25100 punch ! master landscape and home design,punch software,45.99,1,52
408,1052,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,1,52
1368,1062,punch software 25100 punch ! master landscape and home design,punch software,45.99,1,52
116,1021,resumemaker professional 12.0,individual software,29.99,0,53
248,791,individual software resume maker professional deluxe 12.0,,29.99,1,53
207,40,the print shop 22 deluxe,encore,49.99,0,54
249,2050,the printshop v22 deluxe,,29.9,1,54
78,586,quickbooks premier professional services edition 2007,intuit,399.95,0,55
254,2530,intuit quickbooks premier professional services edition 2007 software win tax & finance software,,349.95,1,55
211,580,quickbooks premier edition 2007 5 user multi-pack,intuit,1499.95,0,56
258,264,intuit inc quickbooks premier edition 2007 5 user,,1309.31,1,56
228,802,final draft 7/syd field 's screenwriting workshop dvd bundle,final draft,249.99,0,57
268,2598,final-draft final draft 7.0 with syd fields workshop bundle screen writing software,,247.95,1,57
119,863,cubase se3 educational edition,steinberg,,0,58
270,208,steinberg software cubase se 3.0 educational edition,,145.73,1,58
233,626,steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99,0,59
272,292,steinberg software halion symphonic orchestra educational edition,,545.51,1,59
82,546,adobe photoshop elements 5.0 premiere elements 3.0 bundle,adobe,149.99,0,60
234,107,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62,0,60
273,1696,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,,139.51,1,60
80,484,adobe premiere elements 3.0,adobe,161.73,0,61
274,2807,adobe premiere elements 3 ( pc ),,99.99,1,61
237,1162,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,0,62
278,2109,motu digital performer dp5 software music production software,,319.95,1,62
176,804,digidesign music production toolkit ( pro tools le ),digidesign,495.0,0,63
287,2599,digidesign music production toolkit music production software,,495.0,1,63
231,1127,steinberg sequel ( pc or mac ) music creation & performance software,steinberg,129.0,0,64
288,2182,steinberg sequel music software music production software,,99.99,1,64
242,959,stompsoft digital file shredder pro,stompsoft inc.,24.99,0,65
294,861,migo software digital file shredder 2005,,24.58,1,65
243,1248,american idol extreme music creator,sony media,49.95,0,66
295,1065,sony media software american idol extreme music creator software music production software,,49.95,1,66
215,528,quickbooks simple start 2007,intuit,99.95,0,67
300,2301,intuit quickbooks simple start edition 2007 software for windows tax & finance software,,83.95,1,67
305,2843,quickbooks simple start 2007 intuit,,99.99,1,67
210,396,quickbooks premier non-profit edition 2005,intuit inc.,499.95,0,68
301,2470,intuit inc 284216 qckbks prem nonprofit ed 2005,,404.0,1,68
253,609,quicken 2007 for mac,intuit,69.95,0,69
308,900,intuit quicken 2007 macintosh,,69.99,1,69
347,2188,intuit quicken mac 2007 software finance software,,69.95,1,69
141,267,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99,0,70
310,2503,adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,,149.95,1,70
221,1241,quicken legal business pro 2007,nolo press,79.99,0,71
348,523,nolo quicken legal business pro 2007,,67.94,1,71
272,903,mavis beacon teaches typing 17 standard,encore software,19.99,0,72
351,989,broderbund mavis beacon teaches typing standard17,,22.99,1,72
271,636,mavis beacon teaches typing deluxe v17,encore software,39.99,0,73
352,2153,mavis beacon teaches typing v17 deluxe pc/mac,,29.9,1,73
206,946,the print shop 21 deluxe by broderbund,encore software,,0,74
360,2283,encore software 10038 encore the print shop v. 21.0 deluxe print management pc,,41.97,1,74
280,905,efrontier anime studio pro ( win/mac ),efrontier,199.99,0,75
364,166,allume anime studio pro,,179.99,1,75
281,1093,final cut express 2.0 upgrade,apple computer,99.99,0,76
367,1409,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,1,76
285,688,phase one capture one le,phase one,,0,77
371,250,phase one capture one le,,76.99,1,77
131,1330,onone essentials for adobe photoshop elements version 2 full,onone software,59.95,0,78
373,639,onone software essentials for adobe photoshop elements version 2 full,,59.33,1,78
142,958,onone plug-in suite 3 for adobe photoshop,onone software,399.95,0,79
375,554,onone software plug-in suite full,,393.68,1,79
286,1175,apple mac os x tiger 10.4.6 family pack ( mac ),apple computer,199.0,0,80
377,2158,apple mac os x v10 .4 tiger software family pack apple & mac software,,199.95,1,80
290,600,apple . mac 4.0 online service family pack,apple,179.95,0,81
378,515,apple . mac 4.0 family pack ( new or renewal ),,145.99,1,81
875,2115,apple . mac family pack software five user license with 1-year subscription apple & mac software,,179.0,1,81
292,1133,apple shake 4.1 visual effects ( mac ),apple computer,499.0,0,82
279,2171,apple shake 4.1 digital compositing software for mac os x effects software,,498.95,1,82
379,304,apple shake 4.1 mac os x,,499.99,1,82
294,124,tlc dr. seuss reading learning system 2008,encore,19.99,0,83
381,2845,dr. seuss reading learning system 2008 encore,,19.95,1,83
1388,1837,encore tlc dr seuss reading learning system 2008,,17.9,1,83
293,369,tlc arthur 's kindergarten learning system 2008,encore,19.99,0,84
297,366,riverdeep arthur 's kindergarten,riverdeep,,0,84
388,2770,tlc arthur 's kindergarten learning system ( pc ) encore,,19.95,1,84
161,420,student home learning system for pc/mac,fogware publishing,139.99,0,85
389,2388,student home learning system,,109.99,1,85
249,1051,tlc clue finders math learning system sb by riverdeep,encore software,19.99,0,86
396,2360,encore software 10593 encore tlc clue finders math learning system 2007 complete product educational 1 user complete product standard pc mac,,17.97,1,86
295,454,land before time : preschool,brighter-minds-media-inc .,9.99,0,87
401,2136,the land before time : preschool adventure,brighter-minds-media-inc .,12.9,1,87
308,672,scholastic brain play : pre-kindergarten 1st grade,topics entertainment,19.99,0,88
403,1519,brain play preschool 1st grade,,25.99,1,88
201,808,3d home architect landscape designer v8,encore software,29.99,0,89
409,535,encore inc 3d home architect landscape designer v 8.0,,25.49,1,89
313,1072,marine aquarium & goldfish screen saver by encore software,encore software,,0,90
416,2565,marine aquarium & goldfishscreen saver by encore software,,18.27,1,90
199,1195,home design architect series 3000 v10 .0,punch ! software,149.95,0,91
422,1028,punch software 83100 punch ! home design architectural series 3000 v 10 ( win 98 me nt 2000 xp ),,124.97,1,91
127,1257,total 3d home & landscape design suite version 9,individual software,39.99,0,92
427,462,individual software inc total 3d home & landscape deluxe 9,,33.5,1,92
309,65,custom landdesigner 3d design 7.0,sierra on-line,,0,93
428,2125,custom land designer 3d 7.0,,12.9,1,93
200,458,stationery design studio,summit software,19.99,0,94
429,2619,stationery design studio ( win 98 me 2000 xp ),,19.99,1,94
203,867,punch ! ultimate deck and landscape,punch ! software,29.0,0,95
430,2484,punch software 13100 punch ! ultimate deck & landscape complete product creativity application 1 user ( s ) complete product standard pc,,29.97,1,95
320,376,printmaster gold v 17.0,nova development,19.95,0,96
437,2638,printmaster gold v 17.0 ( win 98 me 2000 xp ),,19.95,1,96
319,669,printmaster gold v 17.0,encore software,19.99,0,97
438,219,encore inc printmaster gold v 17.0,,17.1,1,97
209,1084,riverdeep the print shop zoom dvd,riverdeep,,0,98
441,2067,encore software 11941 the print shop zoom,,17.97,1,98
323,1086,calendar creator platinum sb cs by riverdeep,encore software,29.99,0,99
445,2077,encore software 11031 calendar creator platinum sb csby riverdeep,,25.97,1,99
325,1075,modeless liquid ledger personal finance software ( mac ),csdc,79.99,0,100
458,991,modeless software liquid ledger personal finance,,71.99,1,100
330,178,smart steps 4th grade,dorling-kindersley-multimedia - ( dk ),29.95,0,101
463,1548,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95,1,101
328,709,dk smart steps 3rd grade,global-software-publishing,9.99,0,102
464,2786,global software a0454jch dk smart steps 3rd grade win 95 98 me 2000 xp vista,global-software-publishing,9.08,1,102
329,1294,jumpstart 4th-6th grade v 2.0 b43,knowledge adventure,19.99,0,103
465,703,knowledge adventure inc. jumpstart 4th-6th grade v 2.0 b43,,16.93,1,103
334,347,jumpstart advanced 1st grade v2 .0,knowledge adventure,19.99,0,104
466,2864,jumpstart advanced 1st grade knowledge adventure,,19.99,1,104
112,649,mcafee total protection 2007 3 users,mcafee,99.99,0,105
469,306,mcafee inc total protection 2007 3-user,,92.51,1,105
366,325,cross stitch design studio ( jewel case ),m-and-r-technologies,9.99,0,106
478,3110,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59,1,106
339,72,midway arcade treasures ( jewel case ),encore software,9.99,0,107
480,1567,encore inc 28453 midway arcade treasures win 98 me 2000 xp,encore inc,19.38,1,107
340,1299,snap ! spelling ( jewel case ),topics entertainment,19.95,0,108
481,697,spelling,,4.93,1,108
359,319,poetry fiction and drama ( win/mac ) ( jewel case ),fogware publishing,9.99,0,109
483,3119,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,1,109
346,1143,crystal 3d impact ! pro 1.25 ( jewel case ),crystalgraphics,79.0,0,110
485,2196,crystal-graphics crystal 3d impact ! pro animation software,,99.95,1,110
348,365,english literature basics ( win/mac ) ( jewel case ),fogware publishing,9.99,0,111
488,2849,elementary school english literature basics ( pc/mac ) fogware,,9.99,1,111
349,94,warlords 3 ( jewel case ),red-orb-entertainment,,0,112
489,1629,warlords iii darklords rising,red-orb-entertainment,11.95,1,112
350,43,clip art and more 250 000 ( jewel case ),imsi design,,0,113
490,2066,clipart & more 250000 ( jc ),,9.9,1,113
355,789,hoyle mahjongg ( jewel case ),encore,9.99,0,114
493,2493,encore 10023 hoyle mahjongg for pc,encore,6.99,1,114
360,916,professor fuji 's sudoku ( jewel case ),encore software,9.99,0,115
494,2557,encore software 10313 professor fujis sudoku ( win 98 me 2000 xp ),,8.27,1,115
388,276,instant immersion 33 languages,topics entertainment,49.99,0,116
512,2996,instant immersion 33 languages,topics entertainment,43.99,1,116
520,3022,instant immersion 33 languages,,47.36,1,116
387,1353,instant immersion italian deluxe v2 .0 ( large box ),topics entertainment,29.99,0,117
518,621,topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box ),,31.06,1,117
390,925,instant play guitar deluxe v2 .,topics entertainment,39.48,0,118
519,179,topics entertainment instant play guitar deluxe v2 .0,,31.06,1,118
392,1321,instant immersion american sign language win/mac,topics entertainment,9.99,0,119
523,687,american sign language,,10.57,1,119
395,1095,allume aquazone seven seas deluxe,allume,38.89,0,120
524,966,allume aquazone seven seas deluxe edition,,24.99,1,120
397,51,mastercook deluxe low carb,valusoft,14.99,0,121
525,2092,mastercook deluxe low carb edition,,17.9,1,121
287,1182,onone software pxl smartscale windows and macintosh ),onone software,,0,122
455,801,onone software smartscale software,,189.99,1,122
529,1531,pxl smartscale for mac/win,,159.95,1,122
121,131,microspot interiors,microspot ltd.,99.95,0,123
176,3107,microspot interiors ( ints3 .6 sb ),,95.95,1,123
537,1816,microspot interiors ( mac 10.2 or later ),,99.95,1,123
406,809,hoyle : classic collection 2006,encore,19.99,0,124
542,2585,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97,1,124
409,566,apple garageband jam pack : symphony orchestra,apple,99.0,0,125
544,357,apple garageband jam pack : symphony orchestra,,95.99,1,125
410,590,apple garageband jam pack : world music,apple,99.0,0,126
546,316,apple garageband jam pack : world music,,95.99,1,126
411,871,apple garageband jam pack : rhythm section,apple,99.0,0,127
545,996,apple garageband jam pack : rhythm section,,95.99,1,127
548,2799,garageband jampack rhythm section ( mac ) apple,,99.99,1,127
412,1236,pc cakewalk guitar tracks pro 3,cakewalk,149.99,0,128
550,1347,cakewalk guitar tracks pro 3 music production software,,99.0,1,128
413,1168,sibelius compass,sibelius-software-ltd .,159.99,0,129
551,2169,sibelius compass music composition teaching software music production software,sibelius-software-ltd .,119.95,1,129
382,581,hoyle board games,encore,9.99,0,130
554,2583,encore software 10027 hoyle board games ( win 98 me 2000 xp ),,7.47,1,130
379,780,hoyle backgammon jc,encore,7.99,0,131
555,1502,encore inc 10669 hoyle backgammon,,7.17,1,131
416,1181,the logo creator ( mac ),laughing bird,39.99,0,132
556,894,laughingbird the logo creator,,34.99,1,132
417,1012,reel deal slots 2.0 for pc,phantom efx,9.99,0,133
557,813,phantom efx reel deal slots v 2.0,,7.36,1,133
257,377,pc cillin internet sec 2007 lics large box 3u,trend micro,49.95,0,134
559,2624,pc-cillin internet security 2007 3-user ( win me 2000 xp ),,49.95,1,134
256,1022,panda internet security 2007 3-user,panda software,69.95,0,135
563,793,panda software panda internet security 2007,,69.99,1,135
418,1008,norton internet security 2008 10 user,symantec,199.99,0,136
565,1534,norton internet security 2008 10 user,,199.99,1,136
425,481,art explosion t-shirt factory deluxe 3.0,nova development,29.99,0,137
569,2459,t-shirt factory deluxe 3.0,,27.99,1,137
149,524,apple final cut express hd 3.5 ( mac ),apple computer,299.0,0,138
573,944,apple final cut express hd 3.5,,299.99,1,138
575,2680,apple final cut express hd 3.5 video editing software for mac av production software,,299.0,1,138
151,979,logic express 7,apple computer,299.0,0,139
576,994,apple logic express 7.2,,299.99,1,139
157,453,phonics success deluxe 2006 ( large box ),topics entertainment,49.99,0,140
587,2133,phonics success deluxe 2006,,22.9,1,140
434,59,studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99,0,141
591,2119,middle school math & science,global-software-publishing,12.9,1,141
327,840,digital video and audio production book for vegas 7 + dvd,sony-pictures-digital-entertainment,49.35,0,142
543,1510,digital video & audio prod book,sony-pictures-digital-entertainment,27.5,1,142
592,2941,digital video & audio prod book,sony creative software,27.99,1,142
436,92,computrace lojack for laptops 4 year subscription,absolute software,119.99,0,143
595,1648,absolute software lfl-n2-48 computrace lojack for laptops 4 year license,,105.68,1,143
439,53,boomerang webshop platinum,boomerang,,0,144
599,2084,web shop platinum,,36.9,1,144
188,1136,mediafour macdrive 6 for windows,mediafour corporation,49.99,0,145
609,933,mediafour macdrive 6 access mac partition in windows,,43.99,1,145
166,353,sony vegas 6 + dvd [ old version ],sony-pictures-digital-entertainment,899.95,0,146
1113,352,pc vegas dvd,sony-pictures-home-entertainment,899.99,0,146
612,2871,vegas + dvd sony,sony-pictures-digital-entertainment,899.99,1,146
165,932,registry mechanic 5.x pc system repair,pc tools,29.95,0,147
613,774,encore software 10598 registry mechanic win 98 me 2000 xp,,26.97,1,147
178,487,crystal reports 11 reporting essentials trng cbt,business objects,199.99,0,148
614,2404,business objects t-59j-e-56-wx crystal rpt 11 report essentials cbt,,178.49,1,148
448,268,world of rainbow fish,global-software-publishing,19.99,0,149
616,3128,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19,1,149
449,831,rainbow fish and the whale ( win/mac ),global-software-publishing,9.99,0,150
619,2767,global software a2649m2h rainbow fish & the whale win 95 98 me xp/mac 8.6-9.x ( classic ) x v10 .1 or higher,global-software-publishing,8.79,1,150
454,706,world of warcraft expansion : burning crusade,blizzard entertainment,39.99,0,151
620,405,world of warcraft burning crusade,,39.99,1,151
450,177,world of warcraft 60 day pre-paid time card,blizzard entertainment,29.99,0,152
621,1481,vivendi-universal games inc 72305 world of warcraft 60 day prepaid,,27.99,1,152
451,1117,dk rainbow fish most beautiful fish in the ocean,encore,9.99,0,153
623,1431,encore software a5992jch dk rainbow fish most beautiful fish in the ocean win 95 98 me xp,,9.08,1,153
422,648,internet security barrier x4 antispam edition,intego inc,,0,154
626,305,intego inc internet security barrier x4 antispam edition,,71.75,1,154
421,505,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],symantec,99.95,0,155
630,2162,symantec norton internet security 3.0 software for macintosh apple & mac software,,89.95,1,155
457,1311,zonealarm pro firewall,zone labs,39.99,0,156
635,664,zone labs zonealarm pro,,30.17,1,156
458,687,grisoft avg anti-virus & anti-spyware 2 year subscription,grisoft,39.95,0,157
638,249,grisoft avg anti-virus & anti-spyware,,32.29,1,157
459,459,anti-spyware 3.0 win normal 1u new,trend micro,48.91,0,158
639,2523,anti-spyware 3.0 win normal 1u new,,24.99,1,158
462,17,upg sgms 1000 incremental node,sonic-systems-inc .,,0,159
643,1984,sonicwall gms 1000n-incremental lic upg,sonic-systems-inc .,62920.89,1,159
645,1985,sonicwall gms 1000 upgrade,,63074.12,1,159
465,1238,sound forge audio studio 9,sony media,69.59,0,160
647,2418,sound forge audio studio 9,,66.89,1,160
1618,1089,sony media software sound forge audio studio 9 software music production software,,69.95,1,160
466,994,irispen express translator,iris,149.99,0,161
648,828,iris inc irispen express translator,,142.29,1,161
400,855,micromat podlock ( mac ),micromat,69.0,0,162
650,189,micromat podlock ipod utility software,,39.99,1,162
467,755,micromat protogo,micromat,,0,163
651,337,micromat techtool protogo,,109.99,1,163
469,776,micromat techtool pro 4 ( mac ),micromat,99.99,0,164
652,376,micromat tech tool pro 4.5,,82.99,1,164
120,1179,microspot x-rip ( mac ),microspot ltd,349.99,0,165
653,896,microspot x-rip large format print driver for os x,,335.99,1,165
254,799,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,0,166
656,2592,hp t1936aa uao digital sending software 4.0 ( 10 device license ),hp,369.99,1,166
1382,804,hewlett packard t1936aa ua0 hp digital sending software 4.0 complete product document management 1 device ( s ) complete product standard multilingual pc,hewlett-packard - ( consumables ),342.97,1,166
277,751,project x project management software,marware,199.95,0,167
660,347,marware project x project management software,,179.99,1,167
474,199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,0,168
663,65,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,,147.73,1,168
665,1717,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999,,106.48,1,168
475,312,norton antivirus 2007,symantec,39.99,0,169
668,577,symantec norton anti-virus 2007 windows,,39.99,1,169
424,934,panda antivirus 2007,panda software,29.95,0,170
672,173,sos aggregation company panda antivirus 2007,,23.72,1,170
152,1234,logic express 6,apple,299.99,0,171
677,2593,apple software t9164ll/a logic express 6,apple software,219.0,1,171
1507,1344,apple software t9164ll/a logic express 6,apple software,219.0,1,171
480,1141,appleworks 6.2.9,apple,79.0,0,172
678,929,appleworks 6.2 for mac,,75.99,1,172
1358,2811,apple appleworks 6.2.9 ( mac ),,79.99,1,172
481,457,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,0,173
679,2622,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99,1,173
372,362,national geographic photo gallery ( jewel case ),topics entertainment,9.99,0,174
680,2855,national geographic photo gallery topics,,9.95,1,174
482,48,national geographic presents : forces of nature,topics entertainment,29.99,0,175
682,2074,national geographic : forces of nature,,12.9,1,175
484,770,cosmi rom03558 print perfect clip art deluxe,cosmi,,0,176
683,385,cosmi print perfect clip art deluxe,,6.99,1,176
276,1068,the print shop elements : labels & logos sb cs by the print shop,encore software,,0,177
686,2023,encore software 11041 the print shop elements : labels & logos sb cs by the print shop,,17.97,1,177
476,1310,ca antivirus 2007,computer associates,39.95,0,178
690,663,ca antivirus 2007,,32.28,1,178
487,380,kaspersky anti-virus 6.0,kaspersky lab,59.95,0,179
691,2676,kaspersky anti-virus 6.0 ( pc ),,59.99,1,179
477,617,norton antivirus mac 10.0 ( mac ),symantec,69.95,0,180
692,214,symantec norton anti-virus v. 10 mac,,64.99,1,180
488,1062,pc tools spyware doctor 2007 sb cs by pc tools,encore software,29.99,0,181
694,2063,encore software 10991 pc tools spyware doctor 2007 sbcs by pc tools,,25.97,1,181
478,1151,pc tools spyware doctor 2007,encore,29.95,0,182
695,2126,encore software 10990 pc tools spyware doctor 2007 win 98 me 2000 xp,,26.97,1,182
310,944,registry mechanic by encore software,encore software,46.52,0,183
697,2276,encore software 10599 encore registry mechanic v. 5.1 complete product utility 1 user ( s ) complete product standard pc,,25.97,1,183
470,875,century software tinyterm plus v. 4.0 complete product,century software,,0,184
704,2475,century software ttpl-1 century tinyterm plus v. 4.0 complete product connectivity/data acess 1 user ( s ) complete product standard english pc,,188.97,1,184
490,1131,power production storyboard quick,power production,,0,185
705,2172,power production storyboard quick 5 software for mac and windows animation software,,299.0,1,185
489,990,power production storyboard artist 4,power production,,0,186
706,2243,power production power production storyboard artist software animation software,,498.95,1,186
402,378,aquarium 3-in-one collection ( win/mac ),encore software,19.99,0,187
722,2628,aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),,19.95,1,187
496,1023,aquarium 3 in 1 collection limited edition for win/mac,encore software,19.99,0,188
