index,id,name,addr,city,phone,type,class,source,entity_id
139,300,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',atlanta,404-233-7673,continental,82,1,64
110,83,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83,0,65
202,301,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83,1,65
224,79,ciboulette,' 1529 piedmont ave. ',atlanta,404/874 -7600,french,79,0,66
203,297,` ciboulette restaurant ',' 1529 piedmont ave. ',atlanta,404-874-7600,` french ( new ) ',79,1,66
225,74,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74,0,67
2,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,1,67
230,57,` san domenico ',' 240 central park s ',` new york ',212/265 -5959,italian,57,0,68
208,275,` san domenico ',' 240 central park s. ',` new york city ',212-265-5959,italian,57,1,68
136,84,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,caribbean,84,0,69
114,302,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404-876-0676,eclectic,84,1,69
170,71,` second street grille ',' 200 e. fremont st. ',` las vegas ',702/385 -3232,seafood,71,0,70
45,289,` second street grill ',' 200 e. fremont st. ',` las vegas ',702-385-6277,` pacific rim ',71,1,70
63,37,` island spice ',' 402 w. 44th st. ',` new york ',212/765 -1737,` tel caribbean ',37,0,71
60,255,` island spice ',' 402 w. 44th st. ',` new york city ',212-765-1737,caribbean,37,1,71
154,96,boulevard,' 1 mission st. ',` san francisco ',415/543 -6084,american,96,0,72
126,314,boulevard,' 1 mission st. ',` san francisco ',415-543-6084,` american ( new ) ',96,1,72
125,73,tillerman,' 2245 e. flamingo rd. ',` las vegas ',702/731 -4036,seafood,73,0,73
102,291,'till erman the ',' 2245 e. flamingo rd. ',` las vegas ',702-731-4036,steakhouses,73,1,73
51,39,` la caravelle ','33 w. 55th st. ',` new york ',212/586 -4252,french,39,0,74
28,257,` la caravelle ','33 w. 55th st. ',` new york city ',212-586-4252,` french ( classic ) ',39,1,74
237,58,` second avenue deli ',' 156 2nd ave. at 10th st. ',` new york ',212/677 -0606,delicatessen,58,0,75
213,276,` second avenue deli ',' 156 second ave. ',` new york city ',212-677-0606,delis,58,1,75
239,75,bacchanalia,' 3125 piedmont rd. . near peachtree rd. ',atlanta,404/365 -0410,international,75,0,76
214,293,bacchanalia,' 3125 piedmont rd. ',atlanta,404-365-0410,californian,75,1,76
241,27,` cafe des artistes ',' 1 w. 67th st. ',` new york ',212/877 -3500,continental,27,0,77
153,245,` cafe des artistes ',' 1 w. 67th st. ',` new york city ',212-877-3500,` french ( classic ) ',27,1,77
242,107,` mifune japan center kintetsu building ',' 1737 post st. ',` san francisco ',415/922 -0337,asian,107,0,78
117,325,mifune,' 1737 post st. ',` san francisco ',415-922-0337,japanese,107,1,78
244,101,fringale,' 570 4th st. ',` san francisco ',415/543 -0573,french,101,0,79
216,319,fringale,' 570 fourth st. ',` san francisco ',415-543-0573,` french bistro ',101,1,79
247,100,` fleur de lys ',' 777 sutter st. ',` san francisco ',415/673 -7779,french,100,0,80
16,318,` fleur de lys ',' 777 sutter st. ',` san francisco ',415-673-7779,` french ( new ) ',100,1,80
248,28,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,italian,28,0,81
82,246,` carmine \ 's ',' 2450 broadway ',` new york city ',212-362-2200,italian,28,1,81
249,36,` gramercy tavern ','42 e. 20th st. between park ave. s and broadway ',` new york ',212/477 -0777,american,36,0,82
179,254,` gramercy tavern ','42 e. 20th st. ',` new york city ',212-477-0777,` american ( new ) ',36,1,82
182,108,` plumpjack cafe ',' 3201 fillmore st. ',` san francisco ',415/563 -4755,mediterranean,108,0,83
158,326,` plumpjack cafe ',' 3127 fillmore st. ',` san francisco ',415-563-4755,` american ( new ) ',108,1,83
13,91,` restaurant ritz-carlton atlanta ',' 181 peachtree st. ',atlanta,404/659 -0400,continental,91,0,84
9,309,` ritz-carlton restaurant ',' 181 peachtree st. ',atlanta,404-659-0400,` french ( classic ) ',91,1,84
254,68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68,0,85
96,286,` coyote cafe ( las vegas ) ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7349,southwestern,68,1,85
229,42,` les celebrites ',' 160 central park s ',` new york ',212/484 -5113,french,42,0,86
35,260,` les celebrites ',' 155 w. 58th st. ',` new york city ',212-484-5113,` french ( classic ) ',42,1,86
246,25,aureole,'34 e. 61st st. ',` new york ',' 212 / 319-1660 ',american,25,0,87
42,243,aureole,'34 e. 61st st. ',` new york city ',212-319-1660,` american ( new ) ',25,1,87
142,109,postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109,0,88
116,327,postrio,' 545 post st. ',` san francisco ',415-776-7825,californian,109,1,88
257,99,` chez michel ',' 804 northpoint ',` san francisco ',415/775 -7036,french,99,0,89
224,317,` chez michel ',' 804 north point st. ',` san francisco ',415-775-7036,californian,99,1,89
259,51,` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51,0,90
225,269,` park avenue cafe ( new york city ) ',' 100 e. 63rd st. ',` new york city ',212-644-1900,` american ( new ) ',51,1,90
260,80,delectables,' 1 margaret mitchell sq. ',atlanta,404/681 -2909,american,80,0,91
226,298,delectables,' 1 margaret mitchell sq. ',atlanta,404-681-2909,cafeterias,80,1,91
264,31,daniel,'20 e. 76th st. ',` new york ',212/288 -0033,french,31,0,92
228,249,daniel,'20 e. 76th st. ',` new york city ',212-288-0033,` french ( new ) ',31,1,92
265,5,` chinois on main ',' 2709 main st. ',` santa monica ',310/392 -9025,french,5,0,93
18,223,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,1,93
266,63,` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63,0,94
229,281,` tavern on the green ',` central park west ',` new york city ',212-873-3200,` american ( new ) ',63,1,94
268,103,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415/668 -6654,asian,103,0,95
169,321,` khan toke thai house ',' 5937 geary blvd. ',` san francisco ',415-668-6654,thai,103,1,95
54,45,` manhattan ocean club ','57 w. 58th st. ',` new york ',' 212 / 371-7777 ',seafood,45,0,96
48,263,` manhattan ocean club ','57 w. 58th st. ',` new york city ',212-371-7777,seafood,45,1,96
53,66,` virgil \ 's ',' 152 w. 44th st. ',` new york ',' 212 / 921-9494 ',american,66,0,97
38,284,` virgil \ 's real bbq ',' 152 w. 44th st. ',` new york city ',212-921-9494,bbq,66,1,97
152,93,` veni vidi vici ','41 14th st. ',atlanta,404/875 -8424,italian,93,0,98
74,311,` veni vidi vici ','41 14th st. ',atlanta,404-875-8424,italian,93,1,98
18,34,` four seasons grill room ','99 e. 52nd st. ',` new york ',212/754 -9494,american,34,0,99
62,252,` four seasons ','99 e. 52nd st. ',` new york city ',212-754-9494,` american ( new ) ',34,1,99
157,94,` alain rondelli ',' 126 clement st. ',` san francisco ',415/387 -0408,french,94,0,100
130,312,` alain rondelli ',' 126 clement st. ',` san francisco ',415-387-0408,` french ( new ) ',94,1,100
29,18,` pinot bistro ',' 12969 ventura blvd. ',` los angeles ',818/990 -0500,french,18,0,101
25,236,` pinot bistro ',' 12969 ventura blvd. ',` studio city ',818-990-0500,` french bistro ',18,1,101
276,61,` sign of the dove ',' 1110 3rd ave. at 65th st. ',` new york ',212/861 -8080,american,61,0,102
230,279,` sign of the dove ',' 1110 third ave. ',` new york city ',212-861-8080,` american ( new ) ',61,1,102
102,76,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76,0,103
233,294,` bone \ 's restaurant ',' 3130 piedmont rd. ne ',atlanta,404-237-2663,steakhouses,76,1,103
285,30,chanterelle,' 2 harrison st. near hudson st. ',` new york ',212/966 -6960,american,30,0,104
234,248,chanterelle,' 2 harrison st. ',` new york city ',212-966-6960,` french ( new ) ',30,1,104
286,48,` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48,0,105
235,266,` mi cocina ','57 jane st. ',` new york city ',212-627-8273,mexican,48,1,105
231,202,` cafe botanica ',' 160 central park s ',` new york ',212/484 -5120,french,200,0,106
192,60,` shun lee west ','43 w. 65th st. ',` new york ',212/371 -8844,asian,60,0,107
240,127,` cha cha cha ',' 656 n. virgil ave. ',` los angeles ',213/664 -7723,caribbean,124,0,108
64,274,` jewel of india ','15 w. 44th st. ',` new york ',212/869 -5544,asian,273,0,109
69,532,` zuni cafe & grill ',' 1658 market st. ',` san francisco ',415/552 -2522,mediterranean,532,0,110
22,371,` victor \ 's cafe ','52 236 w. 52nd st. ',` new york ',212/586 -7714,` latin american ',371,0,111
130,289,` le jardin ','25 cleveland pl . near spring st. ',` new york ',212/343 -9599,french,288,0,112
16,112,bolo,'23 e. 22nd st. ',` new york ',212/228 -2200,mediterranean,191,0,113
93,168,` tavola calda ',' 7371 melrose ave. ',` los angeles ',213/658 -6340,italian,165,0,114
147,345,` sea grill ','19 w. 49th st. ',` new york ',212/332 -7610,seafood,345,0,115
33,221,` china grill ','60 w. 53rd st. ',` new york ',212/333 -7788,american,219,0,116
234,148,` le dome ',' 8720 sunset blvd. ',` los angeles ',310/659 -6919,french,145,0,117
145,358,` teresa \ 's ',' 103 1st ave. between 6th and 7th sts . ',` new york ',212/228 -0604,` east european ',358,0,118
20,263,` hard rock cafe ',' 221 w. 57th st. ',` new york ',212/489 -6565,american,261,0,119
195,257,` gianni \ 's ','15 fulton st. ',` new york ',212/608 -7300,seafood,255,0,120
255,366,` tse yang ','34 e. 51st st. ',` new york ',212/688 -5447,asian,366,0,121
126,443,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,0,122
270,189,barbetta,' 321 w. 46th st. ',` new york ',212/246 -9171,italian,186,0,123
46,197,bruno,' 240 e. 58th st. ',` new york ',212/688 -4190,italian,195,0,124
107,468,` des alpes ',' 732 broadway ',` san francisco ',415/788 -9900,french,468,0,125
117,424,` bally \ 's big kitchen ',' 3645 las vegas blvd. s ',` las vegas ',702/739 -4111,buffets,424,0,126
252,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,0,127
37,356,` tang pavillion ','65 w. 55th st. ',` new york ',212/956 -6888,asian,356,0,128
56,290,` le madri ',' 168 w. 18th st. ',` new york ',212/727 -8022,italian,289,0,129
23,277,` judson grill ',' 152 w. 52nd st. ',` new york ',212/582 -5252,american,276,0,130
116,438,'em press court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7888,asian,438,0,131
153,494,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494,0,132
28,415,` sa tsu ki ',' 3043 buford hwy . ',atlanta,404/325 -5285,asian,415,0,133
118,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,0,134
148,269,` inca grill ',' 492 broome st. near w. broadway ',` new york ',212/966 -3371,` latin american ',268,0,135
216,283,` lanza restaurant ',' 168 1st ave. between 10th and 11th sts . ',` new york ',212/674 -7014,italian,282,0,136
24,469,faz,' 161 sutter st. ',` san francisco ',415/362 -0404,` greek and middle eastern ',469,0,137
188,150,` mon kee seafood restaurant ',' 679 n. spring st. ',` los angeles ',213/628 -6717,asian,147,0,138
262,232,` duane park cafe ',' 157 duane st. between w. broadway and hudson st. ',` new york ',212/732 -5555,american,230,0,139
90,170,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,0,140
71,465,carta,' 1772 market st. ',` san francisco ',415/863 -3516,american,465,0,141
227,143,` jack sprat \ 's grill ',' 10668 w. pico blvd. ',` los angeles ',310/837 -6662,` health food ',140,0,142
278,331,` popover cafe ',' 551 amsterdam ave. between 86th and 87th sts . ',` new york ',212/595 -8555,american,330,0,143
271,284,` lattanzi ristorante ',' 361 w. 46th st. ',` new york ',212/315 -0980,italian,283,0,144
267,491,` le central ',' 453 bush st. ',` san francisco ',415/391 -2233,french,491,0,145
280,162,remi,' 3rd st. promenade ',` santa monica ',310/393 -6545,italian,159,0,146
166,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,0,147
123,425,` bamboo garden ',' 4850 flamingo rd. ',` las vegas ',702/871 -3262,asian,425,0,148
82,379,abbey,' 163 ponce de leon ave. ',atlanta,404/876 -8532,international,379,0,149
178,131,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,0,150
190,480,` hong kong flower lounge ',' 5322 geary blvd. ',` san francisco ',415/668 -8998,asian,480,0,151
203,307,` mavalli palace ','46 e. 29th st. ',` new york ',212/679 -5535,asian,306,0,152
15,247,` fleur de jour ',' 348 e. 62nd st. ',` new york ',212/355 -2020,` coffee bar ',245,0,153
35,113,` il nido ',' 251 e. 53rd st. ',` new york ',212/753 -8450,italian,267,0,154
204,381,` annie \ 's thai castle ',' 3195 roswell rd. ',atlanta,404/264 -9546,asian,381,0,155
1,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,0,156
60,230,` dix et sept ',' 181 w. 10th st. ',` new york ',212/645 -8023,french,228,0,157
228,190,` ben benson \ 's ',' 123 w. 52nd st. ',` new york ',212/581 -8888,american,187,0,158
57,292,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,0,159
187,463,` california culinary academy ',' 625 polk st. ',` san francisco ',415/771 -3500,french,463,0,160
114,444,` margarita \ 's mexican cantina ',' 3120 las vegas blvd. s ',` las vegas ',702/794 -8200,mexican,444,0,161
8,421,` taste of new orleans ',' 889 w. peachtree st. ',atlanta,404/874 -5535,southern,421,0,162
272,173,vida,' 1930 north hillhurst ave. ',` los feliz ',213/660 -4446,american,170,0,163
158,492,` le soleil ',' 133 clement st. ',` san francisco ',415/668 -4848,asian,492,0,164
226,448,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,0,165
103,236,` ernie \ 's ',' 2150 broadway between 75th and 76th sts . ',` new york ',212/496 -1588,american,234,0,166
131,321,palio,' 151 w. 51st . st. ',` new york ',212/245 -4850,italian,320,0,167
217,319,otabe,'68 e. 56th st. ',` new york ',212/223 -7575,asian,318,0,168
163,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,0,169
171,344,` sarabeth \ 's kitchen ',' 423 amsterdam ave. between 80th and 81st sts . ',` new york ',212/496 -6280,american,344,0,170
135,442,` lillie langtry \ 's ',' 129 e. fremont st. ',` las vegas ',702/385 -7111,asian,442,0,171
245,447,pamplemousse,' 400 e. sahara ave. ',` las vegas ',702/733 -2066,continental,447,0,172
287,464,` capp \ 's corner ',' 1600 powell st. ',` san francisco ',415/989 -2589,italian,464,0,173
175,295,` lincoln tavern ','51 w. 64th st. ',` new york ',212/721 -8271,american,294,0,174
59,273,` jean lafitte ','68 w. 58th st. ',` new york ',212/751 -2323,french,272,0,175
